店舗:,イラマ屋本店
日付,時間,出勤数,待機
2023-04-27,17:18,8,8
2023-04-27,18:14,10,10
2023-04-27,19:16,9,9
2023-04-27,20:12,9,9
2023-04-27,21:28,8,8
2023-04-27,22:18,8,8
2023-04-27,23:13,8,8
2023-04-28,00:14,8,8
2023-04-28,01:17,8,8
2023-04-28,02:13,9,9
2023-04-28,03:18,9,9
2023-04-28,04:11,8,8
2023-04-28,05:15,8,8
2023-04-28,06:12,1,1
2023-04-28,07:12,6,6
2023-04-28,08:15,6,6
2023-04-28,10:14,1,1
2023-04-28,11:32,9,9
2023-04-28,12:15,9,9
2023-04-28,13:17,9,9
2023-04-28,14:13,9,9
2023-04-28,15:19,9,9
2023-04-28,16:13,9,9
2023-04-28,17:18,9,9
2023-04-28,18:14,9,9
2023-04-28,19:15,9,9
2023-04-28,20:12,11,11
2023-04-28,21:27,11,11
2023-04-28,22:17,13,13
2023-04-28,23:13,13,13
2023-04-29,00:14,14,14
2023-04-29,01:18,14,14
2023-04-29,02:13,14,14
2023-04-29,03:17,14,14
2023-04-29,04:11,14,14
2023-04-29,05:14,14,14
2023-04-29,06:12,2,2
2023-04-29,07:13,6,6
2023-04-29,08:14,5,5
2023-04-29,10:13,1,1
2023-04-29,11:30,13,13
2023-04-29,12:14,13,13
2023-04-29,13:17,13,13
