店舗:,エレガンス
日付,時間,出勤数,待機
2023-04-27,17:18,11,11
2023-04-27,18:14,9,8
2023-04-27,19:16,11,8
2023-04-27,20:12,11,9
2023-04-27,21:28,10,9
2023-04-27,22:18,8,7
2023-04-27,23:13,6,5
2023-04-28,00:14,6,6
2023-04-28,01:17,6,6
2023-04-28,02:13,5,3
2023-04-28,03:18,5,3
2023-04-28,04:11,5,3
2023-04-28,05:15,1,1
2023-04-28,06:12,1,1
2023-04-28,07:12,1,1
2023-04-28,08:15,1,1
2023-04-28,10:14,7,2
2023-04-28,11:32,7,3
2023-04-28,12:15,9,5
2023-04-28,13:17,11,7
2023-04-28,14:13,12,10
2023-04-28,15:19,12,10
2023-04-28,16:13,13,11
2023-04-28,17:18,12,10
2023-04-28,18:14,14,7
2023-04-28,19:15,12,8
2023-04-28,20:12,11,9
2023-04-28,21:27,11,10
2023-04-28,22:17,9,9
2023-04-28,23:13,7,7
2023-04-29,00:14,5,5
2023-04-29,01:18,5,5
2023-04-29,02:13,5,5
2023-04-29,03:17,5,5
2023-04-29,04:11,5,5
2023-04-29,05:14,1,1
2023-04-29,06:12,1,1
2023-04-29,07:13,1,1
