店舗:,石川県ウィザード
日付,時間,出勤数,待機
2023-05-03,01:19,25,13
2023-05-03,02:13,21,11
2023-05-03,03:18,3,2
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,37,3
2023-05-03,12:15,37,4
2023-05-03,13:17,37,12
2023-05-03,14:13,37,12
2023-05-03,15:18,37,15
2023-05-03,16:14,37,16
2023-05-03,17:18,37,19
2023-05-03,18:14,37,19
2023-05-03,19:15,33,17
2023-05-03,20:12,33,17
2023-05-03,21:29,33,17
2023-05-03,22:17,33,17
2023-05-03,23:13,33,17
2023-05-04,00:15,33,17
2023-05-04,01:19,23,12
2023-05-04,02:12,19,10
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,1,1
2023-05-04,11:30,1,1
2023-05-04,12:15,39,3
2023-05-04,13:17,39,9
2023-05-04,14:13,39,9
2023-05-04,15:18,41,19
2023-05-04,16:14,41,20
2023-05-04,17:18,41,21
2023-05-04,18:14,41,21
2023-05-04,19:15,41,21
2023-05-04,20:12,41,21
