店舗:,石川県Rose
日付,時間,出勤数,待機
2023-05-03,01:19,7,3
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,4,4
2023-05-03,11:30,6,3
2023-05-03,12:15,7,4
2023-05-03,13:17,9,7
2023-05-03,14:13,13,8
2023-05-03,15:18,15,11
2023-05-03,16:14,14,11
2023-05-03,17:18,15,11
2023-05-03,18:14,16,14
2023-05-03,19:15,16,13
2023-05-03,20:12,16,15
2023-05-03,21:29,15,14
2023-05-03,22:17,15,14
2023-05-03,23:13,15,14
2023-05-04,00:15,15,13
2023-05-04,01:19,11,10
2023-05-04,02:12,2,2
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,4,3
2023-05-04,11:30,5,3
2023-05-04,12:15,8,5
2023-05-04,13:17,10,7
2023-05-04,14:13,10,7
2023-05-04,15:18,16,14
2023-05-04,16:14,14,10
2023-05-04,17:18,14,10
2023-05-04,18:14,15,11
2023-05-04,19:15,14,12
2023-05-04,20:12,15,15
2023-05-04,21:28,15,12
2023-05-04,22:18,15,13
2023-05-04,23:13,15,13
2023-05-05,00:15,16,12
2023-05-05,01:28,13,13
2023-05-05,02:12,3,3
2023-05-05,03:18,1,1
2023-05-05,04:11,1,1
2023-05-05,05:15,1,1
2023-05-05,06:12,1,1
2023-05-05,07:13,1,1
2023-05-05,08:15,1,1
2023-05-05,10:07,2,1
2023-05-05,11:29,3,1
2023-05-05,12:15,5,4
2023-05-05,13:17,7,6
2023-05-05,14:13,14,11
