店舗:,石川県キスミント
日付,時間,出勤数,待機
2023-05-03,01:19,19,19
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,12,12
2023-05-03,11:30,16,16
2023-05-03,12:15,16,16
2023-05-03,13:17,17,17
2023-05-03,14:13,25,25
2023-05-03,15:18,24,24
2023-05-03,16:14,24,24
2023-05-03,17:18,23,23
2023-05-03,18:14,24,24
2023-05-03,19:15,24,24
2023-05-03,20:12,16,16
2023-05-03,21:29,23,23
2023-05-03,22:17,22,22
2023-05-03,23:13,22,22
2023-05-04,00:15,21,21
2023-05-04,01:19,21,21
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,11,11
2023-05-04,11:30,13,13
2023-05-04,12:15,17,17
2023-05-04,13:17,18,18
2023-05-04,14:13,27,27
2023-05-04,15:18,26,26
2023-05-04,16:14,26,26
2023-05-04,17:18,26,26
2023-05-04,18:14,26,26
2023-05-04,19:15,27,24
2023-05-04,20:12,27,25
2023-05-04,21:28,26,24
