店舗:,石川県ぽちゃパラ
日付,時間,出勤数,待機
2023-05-03,01:19,6,6
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,2,2
2023-05-03,11:30,2,2
2023-05-03,12:15,2,2
2023-05-03,13:17,3,3
2023-05-03,14:13,5,5
2023-05-03,15:18,5,5
2023-05-03,16:14,5,5
2023-05-03,17:18,6,6
2023-05-03,18:14,8,8
2023-05-03,19:15,8,8
2023-05-03,20:12,8,8
2023-05-03,21:29,9,9
2023-05-03,22:17,9,9
2023-05-03,23:13,9,9
2023-05-04,00:15,7,7
2023-05-04,01:19,4,4
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,2,2
2023-05-04,11:30,2,2
2023-05-04,12:15,3,3
2023-05-04,13:17,3,3
