店舗:,すすきのシャカリキ
日付,時間,出勤数,待機
2023-05-03,01:19,92,10
2023-05-03,02:13,88,8
2023-05-03,03:18,86,4
2023-05-03,04:12,83,4
2023-05-03,05:15,79,0
2023-05-03,06:12,94,0
2023-05-03,07:13,94,0
2023-05-03,08:14,94,0
2023-05-03,10:15,118,2
2023-05-03,11:30,119,2
2023-05-03,12:15,119,2
2023-05-03,13:17,119,4
2023-05-03,14:13,117,4
2023-05-03,15:18,117,4
2023-05-03,16:14,115,2
2023-05-03,17:18,115,2
2023-05-03,18:14,115,6
2023-05-03,19:15,115,8
2023-05-03,20:12,115,12
2023-05-03,21:29,105,12
2023-05-03,22:17,103,10
2023-05-03,23:13,103,14
2023-05-04,00:15,103,14
2023-05-04,01:19,98,10
2023-05-04,02:12,94,8
