店舗:,大阪最安値記念激安ダービー
日付,時間,出勤数,待機
2023-04-10,03:16,4,2
2023-04-10,04:10,4,4
2023-04-10,05:14,1,1
2023-04-10,06:11,1,1
2023-04-10,07:12,1,1
2023-04-10,08:13,1,1
2023-04-10,10:11,22,11
2023-04-10,11:28,22,10
2023-04-10,13:17,22,12
2023-04-10,14:14,22,16
2023-04-10,17:18,22,16
2023-04-10,19:15,14,9
2023-04-10,20:11,12,5
2023-04-10,21:28,10,7
2023-04-10,23:12,9,6
2023-04-11,00:13,9,4
2023-04-11,02:12,8,8
2023-04-11,03:18,8,5
2023-04-11,05:15,1,1
2023-04-11,06:12,1,1
2023-04-11,07:13,1,1
2023-04-11,08:14,1,1
2023-04-11,10:12,17,7
2023-04-11,11:30,18,8
2023-04-11,13:17,18,11
2023-04-11,15:19,18,11
2023-04-11,16:14,18,12
2023-04-11,17:19,18,13
2023-04-11,19:16,13,10
2023-04-11,20:12,12,11
2023-04-11,21:29,9,7
2023-04-11,22:18,12,8
2023-04-12,10:12,17,7
2023-04-12,11:30,18,7
2023-04-12,12:15,18,7
2023-04-12,13:17,18,7
2023-04-12,14:13,17,6
2023-04-12,15:19,17,9
2023-04-12,16:13,17,10
2023-04-12,17:18,16,13
2023-04-12,19:15,12,8
2023-04-12,22:18,11,8
2023-04-14,00:15,9,6
2023-04-14,01:18,9,7
2023-04-14,02:12,9,8
2023-04-14,03:18,9,7
2023-04-14,04:11,8,8
2023-04-14,05:15,1,1
2023-04-14,06:12,1,1
2023-04-14,07:13,1,1
2023-04-14,08:14,1,1
2023-04-14,10:13,14,6
2023-04-14,11:29,14,6
2023-04-14,12:15,14,5
2023-04-14,13:17,14,2
2023-04-14,14:13,14,5
2023-04-14,15:19,14,9
2023-04-14,16:13,14,9
2023-04-14,17:18,14,10
2023-04-14,18:14,12,7
2023-04-14,19:15,11,7
2023-04-14,20:12,11,9
2023-04-14,21:28,9,9
2023-04-14,22:18,9,6
2023-04-14,23:13,8,7
2023-04-15,00:15,9,7
2023-04-15,01:19,9,8
2023-04-15,02:11,9,8
2023-04-15,03:17,9,8
2023-04-15,04:11,9,9
2023-04-15,05:15,1,1
2023-04-15,06:12,1,1
2023-04-15,07:13,1,1
2023-04-15,08:14,1,1
2023-04-15,10:15,18,4
2023-04-15,11:30,18,5
2023-04-15,12:15,18,5
2023-04-15,13:17,18,5
2023-04-15,14:13,18,8
2023-04-15,15:17,17,8
2023-04-15,16:12,17,6
2023-04-15,17:17,17,9
2023-04-15,18:13,16,9
2023-04-15,19:14,14,8
2023-04-15,20:11,13,6
2023-04-15,21:26,12,7
2023-04-15,22:15,12,8
2023-04-15,23:12,10,5
2023-04-16,00:13,10,10
2023-04-16,01:18,10,10
2023-04-16,02:12,9,9
2023-04-16,03:17,9,8
2023-04-16,04:11,9,8
2023-04-16,05:14,1,1
2023-04-16,06:12,1,1
2023-04-16,07:13,1,1
2023-04-16,08:13,1,1
2023-04-16,10:17,17,7
2023-04-16,11:34,17,7
2023-04-16,12:15,18,5
2023-04-16,13:17,18,6
2023-04-16,14:13,18,9
2023-04-16,15:18,18,10
2023-04-16,16:12,16,7
2023-04-16,17:17,16,4
2023-04-16,18:13,14,9
2023-04-16,19:14,10,4
2023-04-16,20:11,9,5
2023-04-16,21:26,8,5
2023-04-16,22:16,5,4
2023-04-17,00:13,2,2
2023-04-17,01:18,0,0
2023-04-17,02:12,0,0
2023-04-17,03:17,0,0
2023-04-17,04:11,0,0
2023-04-17,05:14,0,0
2023-04-17,06:12,0,0
2023-04-17,07:13,0,0
2023-04-17,08:14,0,0
2023-04-17,10:14,1,1
2023-04-17,11:31,2,0
2023-04-17,12:15,2,2
2023-04-17,13:18,2,1
2023-04-17,14:14,2,2
2023-04-17,15:19,2,1
2023-04-17,16:14,3,2
2023-04-17,17:19,3,3
2023-04-17,18:15,5,4
2023-04-17,19:16,3,2
2023-04-17,20:12,3,3
2023-04-17,21:30,4,3
2023-04-17,22:18,0,0
2023-04-17,23:14,3,3
2023-04-18,00:15,2,2
2023-04-18,01:19,1,1
2023-04-18,02:13,0,0
2023-04-18,03:18,0,0
2023-04-18,04:10,0,0
2023-04-18,05:15,0,0
2023-04-18,06:12,0,0
2023-04-18,07:13,0,0
2023-04-18,08:14,0,0
2023-04-18,10:12,0,0
2023-04-18,11:30,1,1
2023-04-18,12:15,2,1
