店舗:,福井県ルート69
日付,時間,出勤数,待機
2023-05-03,01:19,6,6
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,2,2
2023-05-03,12:15,4,4
2023-05-03,13:17,9,9
2023-05-03,14:13,9,9
2023-05-03,15:18,9,9
2023-05-03,16:14,5,5
2023-05-03,17:18,5,5
2023-05-03,18:14,9,9
2023-05-03,19:15,9,9
2023-05-03,20:12,9,9
2023-05-03,21:29,9,9
2023-05-03,22:17,9,9
2023-05-03,23:13,9,9
2023-05-04,00:15,9,9
