店舗:,岐阜県不二子Chan
日付,時間,出勤数,待機
2023-05-03,01:19,9,6
2023-05-03,02:13,6,6
2023-05-03,03:18,4,1
2023-05-03,04:12,4,4
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,1,1
2023-05-03,12:15,21,1
2023-05-03,13:17,21,1
2023-05-03,14:13,21,9
2023-05-03,15:18,20,7
2023-05-03,16:14,20,14
2023-05-03,17:18,20,14
2023-05-03,18:14,20,16
2023-05-03,19:15,20,16
2023-05-03,20:12,20,11
2023-05-03,21:29,19,8
2023-05-03,22:17,19,13
2023-05-03,23:13,18,10
2023-05-04,00:15,16,8
2023-05-04,01:19,14,13
2023-05-04,02:12,5,5
2023-05-04,03:17,4,4
2023-05-04,04:11,4,4
2023-05-04,05:15,3,2
