店舗:,岐阜県アクア
日付,時間,出勤数,待機
2023-05-03,01:19,7,2
2023-05-03,02:13,5,3
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,14,6
2023-05-03,12:15,14,6
2023-05-03,13:17,15,7
2023-05-03,14:13,16,8
2023-05-03,15:18,17,8
2023-05-03,16:14,17,11
2023-05-03,17:18,17,12
2023-05-03,18:14,17,12
2023-05-03,19:15,16,11
2023-05-03,20:12,16,9
2023-05-03,21:29,15,8
2023-05-03,22:17,12,7
2023-05-03,23:13,11,8
2023-05-04,00:15,8,4
2023-05-04,01:19,8,4
2023-05-04,02:12,4,4
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,1,1
2023-05-04,11:30,18,6
2023-05-04,12:15,19,7
2023-05-04,13:17,19,7
2023-05-04,14:13,19,8
2023-05-04,15:18,19,12
2023-05-04,16:14,19,13
2023-05-04,17:18,18,12
2023-05-04,18:14,18,12
2023-05-04,19:15,19,14
2023-05-04,20:12,19,15
2023-05-04,21:28,17,8
2023-05-04,22:18,14,10
2023-05-04,23:13,14,9
2023-05-05,00:15,11,7
2023-05-05,01:28,10,6
2023-05-05,02:12,6,4
