店舗:,岐阜県イビサ
日付,時間,出勤数,待機
2023-05-03,01:19,1,1
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,16,11
2023-05-03,11:30,18,9
2023-05-03,12:15,18,16
2023-05-03,13:17,19,19
2023-05-03,14:13,19,19
2023-05-03,15:18,19,18
2023-05-03,16:14,19,14
2023-05-03,17:18,19,13
2023-05-03,18:14,19,17
2023-05-03,19:15,18,18
2023-05-03,20:12,17,17
2023-05-03,21:29,17,17
2023-05-03,22:17,17,17
2023-05-03,23:13,1,1
2023-05-04,00:15,1,1
2023-05-04,01:19,1,1
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,17,13
2023-05-04,11:30,17,13
2023-05-04,12:15,17,17
2023-05-04,13:17,20,8
2023-05-04,14:13,17,17
2023-05-04,15:18,21,14
2023-05-04,16:14,21,19
2023-05-04,17:18,21,18
2023-05-04,18:14,21,21
2023-05-04,19:15,21,21
2023-05-04,20:12,20,20
2023-05-04,21:28,19,19
2023-05-04,22:18,18,18
2023-05-04,23:13,1,1
2023-05-05,00:15,1,1
2023-05-05,01:28,1,1
2023-05-05,02:12,1,1
2023-05-05,03:18,1,1
2023-05-05,04:11,1,1
2023-05-05,05:15,1,1
2023-05-05,06:12,1,1
2023-05-05,07:13,1,1
2023-05-05,08:15,1,1
2023-05-05,10:07,18,12
2023-05-05,11:29,18,12
2023-05-05,12:15,22,20
2023-05-05,13:17,23,14
2023-05-05,14:13,23,23
2023-05-05,15:19,23,23
2023-05-05,16:13,22,22
2023-05-05,17:17,22,22
2023-05-05,18:14,22,22
2023-05-05,19:15,22,22
2023-05-05,20:12,21,21
2023-05-05,21:27,20,20
2023-05-05,22:17,20,20
2023-05-05,23:13,1,1
2023-05-06,00:14,1,1
2023-05-06,01:19,1,1
