店舗:,スピードエコ 天王寺店
日付,時間,出勤数,待機
2023-04-10,03:16,4,4
2023-04-10,04:10,1,1
2023-04-10,05:14,1,1
2023-04-10,06:11,1,1
2023-04-10,07:12,1,1
2023-04-10,08:13,1,1
2023-04-10,10:11,4,2
2023-04-10,11:28,7,3
2023-04-10,13:17,6,4
2023-04-10,14:14,6,3
2023-04-10,17:18,10,8
2023-04-10,19:15,7,6
2023-04-10,20:11,7,7
2023-04-10,21:28,7,7
2023-04-10,23:12,5,5
2023-04-11,00:13,4,4
2023-04-11,02:12,3,3
2023-04-11,03:18,3,3
2023-04-11,05:15,1,1
2023-04-11,06:12,1,1
2023-04-11,07:13,1,1
2023-04-11,08:14,1,1
2023-04-11,10:12,4,1
2023-04-11,11:30,6,5
2023-04-11,13:17,4,4
