店舗:,すすきのちちむっちょDX
日付,時間,出勤数,待機
2023-05-03,01:19,14,14
2023-05-03,02:13,14,14
2023-05-03,03:18,10,10
2023-05-03,04:12,10,10
2023-05-03,05:15,0,0
2023-05-03,06:12,0,0
2023-05-03,07:13,0,0
2023-05-03,08:14,0,0
2023-05-03,10:15,16,0
2023-05-03,11:30,16,0
2023-05-03,12:15,16,4
2023-05-03,13:17,16,4
2023-05-03,14:13,16,4
2023-05-03,15:18,16,6
2023-05-03,16:14,16,4
2023-05-03,17:18,16,4
2023-05-03,18:14,16,4
2023-05-03,19:15,16,6
2023-05-03,20:12,16,8
2023-05-03,21:29,16,12
2023-05-03,22:17,14,8
2023-05-03,23:13,14,4
2023-05-04,00:15,14,8
2023-05-04,01:19,14,12
2023-05-04,02:12,12,10
2023-05-04,03:17,6,6
2023-05-04,04:11,6,6
2023-05-04,05:15,0,0
2023-05-04,06:13,0,0
2023-05-04,07:14,0,0
2023-05-04,08:14,0,0
2023-05-04,10:12,20,0
2023-05-04,11:30,20,0
2023-05-04,12:15,20,0
2023-05-04,13:17,20,0
2023-05-04,14:13,20,0
2023-05-04,15:18,20,6
2023-05-04,16:14,20,6
2023-05-04,17:18,18,8
2023-05-04,18:14,18,10
2023-05-04,19:15,18,12
2023-05-04,20:12,18,16
2023-05-04,21:28,16,10
2023-05-04,22:18,16,10
2023-05-04,23:13,12,4
2023-05-05,00:15,12,6
2023-05-05,01:28,8,8
2023-05-05,02:12,6,6
2023-05-05,03:18,4,4
2023-05-05,04:11,4,4
2023-05-05,05:15,0,0
2023-05-05,06:12,0,0
2023-05-05,07:13,0,0
2023-05-05,08:15,0,0
2023-05-05,10:07,24,0
2023-05-05,11:29,24,0
2023-05-05,12:15,24,0
2023-05-05,13:17,24,0
2023-05-05,14:13,24,0
2023-05-05,15:19,22,4
2023-05-05,16:13,22,4
2023-05-05,17:17,22,12
2023-05-05,18:14,22,6
2023-05-05,19:15,22,10
2023-05-05,20:12,22,12
2023-05-05,21:27,20,12
2023-05-05,22:17,16,14
2023-05-05,23:13,16,12
2023-05-06,00:14,10,8
2023-05-06,01:19,8,6
2023-05-06,02:12,6,4
2023-05-06,03:17,4,2
2023-05-06,04:11,4,2
2023-05-06,05:14,0,0
2023-05-06,06:12,0,0
2023-05-06,07:13,0,0
