店舗:,激安商事の課長命令堺東店
日付,時間,出勤数,待機
2023-04-10,03:16,2,1
2023-04-10,04:10,2,1
2023-04-10,05:14,1,1
2023-04-10,06:11,1,1
2023-04-10,07:12,1,1
2023-04-10,08:13,1,1
2023-04-10,10:11,14,6
2023-04-10,11:28,11,5
2023-04-10,13:17,13,6
2023-04-10,14:14,12,5
2023-04-10,17:18,12,7
2023-04-10,19:15,9,6
2023-04-10,20:11,9,8
2023-04-10,21:28,8,8
2023-04-10,23:12,6,5
2023-04-11,00:13,5,4
2023-04-11,02:12,1,1
2023-04-11,03:18,1,1
2023-04-11,05:15,1,1
2023-04-11,06:12,1,1
2023-04-11,07:13,1,1
2023-04-11,08:14,1,1
2023-04-11,10:12,15,4
2023-04-11,11:30,15,7
2023-04-11,13:17,15,6
2023-04-11,15:19,14,8
2023-04-11,16:14,12,8
2023-04-11,17:19,12,7
2023-04-11,19:16,11,10
2023-04-11,20:12,11,11
2023-04-11,21:29,10,10
2023-04-11,22:18,9,9
2023-04-12,10:12,15,7
2023-04-12,11:30,15,4
2023-04-12,12:15,14,4
2023-04-12,13:17,14,6
2023-04-12,14:13,13,7
2023-04-12,15:19,10,7
2023-04-12,16:13,9,6
2023-04-12,17:18,8,8
2023-04-12,19:15,7,5
2023-04-12,22:18,6,5
2023-04-14,00:15,7,7
2023-04-14,01:18,5,5
2023-04-14,02:12,1,1
2023-04-14,03:18,1,1
2023-04-14,04:11,1,1
2023-04-14,05:15,1,1
2023-04-14,06:12,1,1
2023-04-14,07:13,1,1
2023-04-14,08:14,1,1
2023-04-14,10:13,20,7
2023-04-14,11:29,20,6
2023-04-14,12:15,20,8
2023-04-14,13:17,20,8
2023-04-14,14:13,20,10
2023-04-14,15:19,17,9
2023-04-14,16:13,16,6
2023-04-14,17:18,15,10
2023-04-14,18:14,12,9
2023-04-14,19:15,11,6
2023-04-14,20:12,10,8
2023-04-14,21:28,9,6
2023-04-14,22:18,9,8
2023-04-14,23:13,9,9
2023-04-15,00:15,6,6
