店舗:,滋賀県さくらん
日付,時間,出勤数,待機
2023-05-03,01:19,1,1
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,20,11
2023-05-03,11:30,20,4
2023-05-03,12:15,20,6
2023-05-03,13:17,19,11
2023-05-03,14:13,19,11
2023-05-03,15:18,18,15
2023-05-03,16:14,18,13
2023-05-03,17:18,18,13
2023-05-03,18:14,18,15
2023-05-03,19:15,18,18
2023-05-03,20:12,18,12
2023-05-03,21:29,18,17
2023-05-03,22:17,17,14
2023-05-03,23:13,16,16
2023-05-04,00:15,1,1
2023-05-04,01:19,1,1
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
