店舗:,滋賀県秘書コレクション
日付,時間,出勤数,待機
2023-05-03,01:19,11,1
2023-05-03,02:13,11,1
2023-05-03,03:18,11,1
2023-05-03,04:12,11,1
2023-05-03,05:15,11,1
2023-05-03,06:12,11,1
2023-05-03,07:13,11,1
2023-05-03,08:14,11,1
2023-05-03,10:15,11,2
2023-05-03,11:30,11,5
2023-05-03,12:15,12,4
2023-05-03,13:17,12,5
2023-05-03,14:13,12,3
2023-05-03,15:18,12,6
2023-05-03,16:14,12,2
2023-05-03,17:18,7,1
2023-05-03,18:14,7,1
2023-05-03,19:15,7,1
2023-05-03,20:12,6,1
2023-05-03,21:29,1,1
2023-05-03,22:17,1,1
2023-05-03,23:13,1,1
2023-05-04,00:15,5,1
2023-05-04,01:19,5,1
2023-05-04,02:12,5,1
2023-05-04,03:17,5,1
2023-05-04,04:11,5,1
2023-05-04,05:15,5,1
2023-05-04,06:13,5,1
2023-05-04,07:14,5,1
2023-05-04,08:14,5,1
2023-05-04,10:12,5,2
2023-05-04,11:30,5,3
2023-05-04,12:15,6,2
2023-05-04,13:17,6,3
2023-05-04,14:13,6,2
2023-05-04,15:18,6,1
2023-05-04,16:14,6,1
2023-05-04,17:18,3,1
2023-05-04,18:14,3,1
2023-05-04,19:15,3,3
2023-05-04,20:12,1,1
2023-05-04,21:28,1,1
2023-05-04,22:18,1,1
2023-05-04,23:13,1,1
2023-05-05,00:15,8,1
2023-05-05,01:28,8,1
2023-05-05,02:12,8,1
2023-05-05,03:18,8,1
2023-05-05,04:11,8,1
2023-05-05,05:15,8,1
2023-05-05,06:12,8,1
2023-05-05,07:13,8,1
2023-05-05,08:15,8,1
2023-05-05,10:07,8,4
2023-05-05,11:29,8,4
2023-05-05,12:15,11,3
2023-05-05,13:17,11,3
2023-05-05,14:13,11,4
2023-05-05,15:19,11,5
2023-05-05,16:13,11,2
2023-05-05,17:17,6,4
2023-05-05,18:14,6,4
2023-05-05,19:15,6,2
2023-05-05,20:12,6,1
2023-05-05,21:27,6,4
2023-05-05,22:17,6,5
2023-05-05,23:13,5,3
2023-05-06,00:14,8,1
2023-05-06,01:19,8,1
2023-05-06,02:12,8,1
2023-05-06,03:17,8,1
2023-05-06,04:11,8,1
2023-05-06,05:14,8,1
2023-05-06,06:12,8,1
2023-05-06,07:13,8,1
2023-05-06,08:14,8,1
2023-05-06,10:10,8,2
2023-05-06,11:27,8,4
