店舗:,すすきの小梅CLUB
日付,時間,出勤数,待機
2023-05-03,01:19,110,0
2023-05-03,02:13,110,0
2023-05-03,03:18,110,0
2023-05-03,04:12,110,0
2023-05-03,05:15,110,0
2023-05-03,06:12,110,0
2023-05-03,07:13,110,0
2023-05-03,08:14,110,0
2023-05-03,10:15,110,8
2023-05-03,11:30,110,2
2023-05-03,12:15,110,8
2023-05-03,13:17,110,12
2023-05-03,14:13,110,16
2023-05-03,15:18,110,12
2023-05-03,16:14,110,12
2023-05-03,17:18,110,12
2023-05-03,18:14,110,16
2023-05-03,19:15,110,18
2023-05-03,20:12,110,10
2023-05-03,21:29,110,12
2023-05-03,22:17,102,4
2023-05-03,23:13,84,0
2023-05-04,00:15,113,0
2023-05-04,01:19,113,0
2023-05-04,02:12,113,0
2023-05-04,03:17,113,0
2023-05-04,04:11,113,0
2023-05-04,05:15,113,0
2023-05-04,06:13,113,0
2023-05-04,07:14,113,0
2023-05-04,08:14,113,0
2023-05-04,10:12,113,0
2023-05-04,11:30,113,0
2023-05-04,12:15,113,0
2023-05-04,13:17,113,0
2023-05-04,14:13,113,4
2023-05-04,15:18,113,6
2023-05-04,16:14,113,10
2023-05-04,17:18,113,8
2023-05-04,18:14,113,10
2023-05-04,19:15,113,10
2023-05-04,20:12,113,10
2023-05-04,21:28,120,4
2023-05-04,22:18,110,6
2023-05-04,23:13,108,10
2023-05-05,00:15,114,0
2023-05-05,01:28,114,0
2023-05-05,02:12,114,0
2023-05-05,03:18,114,0
2023-05-05,04:11,114,0
2023-05-05,05:15,114,0
2023-05-05,06:12,114,0
2023-05-05,07:13,114,0
2023-05-05,08:15,114,0
2023-05-05,10:07,112,6
2023-05-05,11:29,104,10
2023-05-05,12:15,104,10
2023-05-05,13:17,104,14
2023-05-05,14:13,104,2
2023-05-05,15:19,104,0
2023-05-05,16:13,104,2
2023-05-05,17:17,104,6
2023-05-05,18:14,104,12
2023-05-05,19:15,104,0
2023-05-05,20:12,104,2
2023-05-05,21:27,104,4
2023-05-05,22:17,103,2
2023-05-05,23:13,89,0
2023-05-06,00:14,106,0
2023-05-06,01:19,106,0
2023-05-06,02:12,106,0
2023-05-06,03:17,106,0
2023-05-06,04:11,106,0
2023-05-06,05:14,106,0
2023-05-06,06:12,106,0
2023-05-06,07:13,106,0
2023-05-06,08:14,106,0
2023-05-06,10:10,106,0
