店舗:,リッチパイ
日付,時間,出勤数,待機
2023-04-10,03:16,4,1
2023-04-10,04:10,3,1
2023-04-10,05:14,1,1
2023-04-10,06:11,1,1
2023-04-10,07:12,11,1
2023-04-10,08:13,11,1
2023-04-10,10:11,11,1
2023-04-10,11:28,11,1
2023-04-10,13:17,11,2
2023-04-10,14:14,10,2
2023-04-10,17:18,10,2
2023-04-10,19:15,10,1
2023-04-10,20:11,10,1
2023-04-10,21:28,9,4
2023-04-10,23:12,6,1
2023-04-11,00:13,3,1
2023-04-11,02:12,3,1
2023-04-11,03:18,2,1
2023-04-11,05:15,1,1
2023-04-11,06:12,11,1
2023-04-11,07:13,11,1
2023-04-11,08:14,11,1
2023-04-11,10:12,11,1
2023-04-11,11:30,10,1
2023-04-11,13:17,10,1
2023-04-11,15:19,10,2
2023-04-11,16:14,10,3
