店舗:,兵庫県ブレンダ
日付,時間,出勤数,待機
2023-05-03,01:19,6,1
2023-05-03,02:13,5,3
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,14,1
2023-05-03,11:30,15,1
2023-05-03,12:15,15,1
2023-05-03,13:17,15,1
2023-05-03,14:13,14,2
2023-05-03,15:18,14,3
2023-05-03,16:14,14,3
2023-05-03,17:18,14,3
2023-05-03,18:14,14,6
2023-05-03,19:15,14,9
2023-05-03,20:12,12,9
2023-05-03,21:29,11,8
2023-05-03,22:17,9,7
2023-05-03,23:13,10,7
2023-05-04,00:15,7,4
2023-05-04,01:19,6,2
2023-05-04,02:12,6,2
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,16,1
2023-05-04,11:30,16,1
2023-05-04,12:15,16,2
2023-05-04,13:17,16,2
2023-05-04,14:13,16,4
2023-05-04,15:18,16,4
2023-05-04,16:14,16,5
2023-05-04,17:18,16,7
2023-05-04,18:14,16,6
2023-05-04,19:15,14,7
2023-05-04,20:12,14,7
