店舗:,兵庫県Hug&Kiss
日付,時間,出勤数,待機
2023-05-03,01:19,14,8
2023-05-03,02:13,12,6
2023-05-03,03:18,10,6
2023-05-03,04:12,7,5
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,1,1
2023-05-03,12:15,1,1
2023-05-03,13:17,1,1
2023-05-03,14:13,1,1
2023-05-03,15:18,1,1
2023-05-03,16:14,1,1
2023-05-03,17:18,1,1
2023-05-03,18:14,1,1
2023-05-03,19:15,1,1
2023-05-03,20:12,4,2
2023-05-03,21:29,10,7
2023-05-03,22:17,12,8
2023-05-03,23:13,13,7
2023-05-04,00:15,14,9
2023-05-04,01:19,14,13
2023-05-04,02:12,11,8
2023-05-04,03:17,10,9
2023-05-04,04:11,7,7
2023-05-04,05:15,1,1
