店舗:,女の子市場
日付,時間,出勤数,待機
2023-04-10,03:16,1,1
2023-04-10,04:10,1,1
2023-04-10,05:14,1,1
2023-04-10,06:11,1,1
2023-04-10,07:12,1,1
2023-04-10,08:13,1,1
2023-04-10,10:11,10,1
2023-04-10,11:28,10,3
2023-04-10,13:17,10,5
2023-04-10,14:14,10,10
2023-04-10,17:18,12,10
2023-04-10,19:15,9,6
2023-04-10,20:11,9,5
2023-04-10,21:28,8,3
2023-04-10,23:12,8,7
2023-04-11,00:13,8,7
2023-04-11,02:12,1,1
2023-04-11,03:18,1,1
2023-04-11,05:15,1,1
2023-04-11,06:12,1,1
2023-04-11,07:13,1,1
2023-04-11,08:14,1,1
2023-04-11,10:12,11,1
2023-04-11,11:30,11,2
2023-04-11,13:17,11,7
2023-04-11,15:19,12,8
2023-04-11,16:14,12,8
2023-04-11,17:19,11,8
2023-04-11,19:16,11,9
2023-04-11,20:12,11,6
2023-04-11,21:29,10,6
2023-04-11,22:18,10,5
2023-04-12,10:12,13,1
2023-04-12,11:30,13,3
2023-04-12,12:15,13,3
2023-04-12,13:17,11,5
2023-04-12,14:13,10,8
2023-04-12,15:19,12,7
2023-04-12,16:13,12,7
2023-04-12,17:18,12,7
2023-04-12,19:15,12,5
2023-04-12,22:18,10,6
2023-04-14,00:15,8,5
2023-04-14,01:18,7,5
2023-04-14,02:12,1,1
2023-04-14,03:18,1,1
2023-04-14,04:11,1,1
2023-04-14,05:15,1,1
2023-04-14,06:12,1,1
2023-04-14,07:13,1,1
2023-04-14,08:14,1,1
2023-04-14,10:13,16,2
2023-04-14,11:29,16,4
2023-04-14,12:15,16,5
2023-04-14,13:17,16,7
2023-04-14,14:13,16,11
2023-04-14,15:19,17,12
2023-04-14,16:13,17,12
2023-04-14,17:18,17,13
2023-04-14,18:14,16,10
2023-04-14,19:15,15,9
2023-04-14,20:12,15,9
2023-04-14,21:28,14,9
2023-04-14,22:18,14,8
2023-04-14,23:13,12,8
2023-04-15,00:15,12,11
2023-04-15,01:19,7,7
2023-04-15,02:11,1,1
2023-04-15,03:17,1,1
2023-04-15,04:11,1,1
