店舗:,ニューデリー
日付,時間,出勤数,待機
2023-04-10,03:16,4,4
2023-04-10,04:10,4,4
2023-04-10,05:14,1,1
2023-04-10,06:11,1,1
2023-04-10,07:12,1,1
2023-04-10,08:13,1,1
2023-04-10,10:11,7,3
2023-04-10,11:28,15,4
2023-04-10,13:17,16,6
2023-04-10,14:14,18,9
2023-04-10,17:18,21,8
2023-04-10,19:15,23,13
2023-04-10,20:11,22,14
2023-04-10,21:28,20,17
2023-04-10,23:12,15,12
2023-04-11,00:13,13,11
2023-04-11,02:12,10,10
2023-04-11,03:18,5,5
2023-04-11,05:15,1,1
2023-04-11,06:12,1,1
2023-04-11,07:13,1,1
2023-04-11,08:14,1,1
2023-04-11,10:12,9,2
2023-04-11,11:30,14,3
2023-04-11,13:17,19,5
2023-04-11,15:19,19,11
2023-04-11,16:14,20,13
2023-04-11,17:19,18,11
2023-04-11,19:16,17,10
2023-04-11,20:12,16,13
2023-04-11,21:29,13,12
2023-04-11,22:18,12,12
2023-04-12,10:12,10,1
2023-04-12,11:30,17,3
2023-04-12,12:15,19,9
2023-04-12,13:17,22,12
2023-04-12,14:13,22,14
2023-04-12,15:19,22,13
2023-04-12,16:13,20,11
2023-04-12,17:18,23,13
2023-04-12,19:15,23,21
2023-04-12,22:18,17,17
2023-04-14,00:15,14,14
2023-04-14,01:18,12,12
2023-04-14,02:12,13,13
2023-04-14,03:18,6,6
2023-04-14,04:11,5,5
2023-04-14,05:15,1,1
2023-04-14,06:12,1,1
2023-04-14,07:13,1,1
2023-04-14,08:14,1,1
2023-04-14,10:13,14,2
2023-04-14,11:29,17,2
2023-04-14,12:15,22,9
2023-04-14,13:17,22,10
2023-04-14,14:13,22,12
2023-04-14,15:19,26,15
2023-04-14,16:13,25,16
2023-04-14,17:18,25,14
2023-04-14,18:14,25,18
2023-04-14,19:15,25,21
2023-04-14,20:12,21,18
2023-04-14,21:28,20,12
2023-04-14,22:18,19,14
2023-04-14,23:13,17,16
2023-04-15,00:15,14,14
2023-04-15,01:19,13,13
2023-04-15,02:11,13,13
