店舗:,元祖!発情ミセス従順クラブ
日付,時間,出勤数,待機
2023-04-10,03:16,4,4
2023-04-10,04:10,1,1
2023-04-10,05:14,1,1
2023-04-10,06:11,1,1
2023-04-10,07:12,15,1
2023-04-10,08:13,17,2
2023-04-10,10:11,17,3
2023-04-10,11:28,17,5
2023-04-10,13:17,16,6
2023-04-10,14:14,14,5
2023-04-10,17:18,13,5
2023-04-10,19:15,11,6
2023-04-10,20:11,11,8
2023-04-10,21:28,10,9
2023-04-10,23:12,6,5
2023-04-11,00:13,6,6
2023-04-11,02:12,5,4
2023-04-11,03:18,5,5
2023-04-11,05:15,1,1
2023-04-11,06:12,1,1
2023-04-11,07:13,19,1
2023-04-11,08:14,19,2
2023-04-11,10:12,18,2
2023-04-11,11:30,17,3
2023-04-11,13:17,16,4
2023-04-11,15:19,15,5
2023-04-11,16:14,12,2
