店舗:,福島県OL精薬
日付,時間,出勤数,待機
2023-05-03,01:19,18,7
2023-05-03,02:13,18,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,19,1
2023-05-03,11:30,18,5
2023-05-03,12:15,19,8
2023-05-03,13:17,20,7
2023-05-03,14:13,23,6
2023-05-03,15:18,25,6
2023-05-03,16:14,25,8
2023-05-03,17:18,24,5
2023-05-03,18:14,25,9
2023-05-03,19:15,25,10
2023-05-03,20:12,24,7
2023-05-03,21:29,23,3
2023-05-03,22:17,23,4
2023-05-03,23:13,22,5
2023-05-04,00:15,22,7
2023-05-04,01:19,21,5
2023-05-04,02:12,19,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,21,1
2023-05-04,11:30,22,2
2023-05-04,12:15,23,3
2023-05-04,13:17,27,1
2023-05-04,14:13,28,5
2023-05-04,15:18,28,6
2023-05-04,16:14,29,13
2023-05-04,17:18,29,11
2023-05-04,18:14,30,13
2023-05-04,19:15,30,11
2023-05-04,20:12,29,11
2023-05-04,21:28,26,12
2023-05-04,22:18,26,10
2023-05-04,23:13,26,10
2023-05-05,00:15,25,10
2023-05-05,01:28,23,9
2023-05-05,02:12,23,1
2023-05-05,03:18,1,1
2023-05-05,04:11,1,1
2023-05-05,05:15,1,1
2023-05-05,06:12,1,1
2023-05-05,07:13,1,1
2023-05-05,08:15,1,1
2023-05-05,10:07,19,7
2023-05-05,11:29,25,6
2023-05-05,12:15,26,5
2023-05-05,13:17,31,4
2023-05-05,14:13,33,4
2023-05-05,15:19,33,6
2023-05-05,16:13,31,8
2023-05-05,17:17,30,9
2023-05-05,18:14,29,13
2023-05-05,19:15,26,13
2023-05-05,20:12,26,10
2023-05-05,21:27,25,13
2023-05-05,22:17,24,13
2023-05-05,23:13,23,9
2023-05-06,00:14,23,7
2023-05-06,01:19,21,6
2023-05-06,02:12,21,5
2023-05-06,03:17,11,1
2023-05-06,04:11,1,1
2023-05-06,05:14,1,1
2023-05-06,06:12,1,1
2023-05-06,07:13,1,1
2023-05-06,08:14,1,1
2023-05-06,10:10,25,1
2023-05-06,11:27,27,3
2023-05-06,12:15,28,4
2023-05-06,13:16,31,5
2023-05-06,14:13,32,4
2023-05-06,15:17,29,6
2023-05-06,16:13,30,8
2023-05-06,17:16,32,9
2023-05-06,18:13,29,10
2023-05-06,19:14,28,10
2023-05-06,20:11,28,11
2023-05-06,21:26,25,10
2023-05-06,22:15,25,8
2023-05-06,23:11,24,7
2023-05-07,00:13,24,11
2023-05-07,01:17,23,9
2023-05-07,02:11,23,4
2023-05-07,03:17,11,1
2023-05-07,04:10,1,1
2023-05-07,05:13,1,1
2023-05-07,06:12,1,1
2023-05-07,07:12,1,1
2023-05-07,08:14,1,1
2023-05-07,10:18,22,2
2023-05-07,11:35,25,3
2023-05-07,12:15,26,3
2023-05-07,13:17,28,2
2023-05-07,14:13,31,3
2023-05-07,15:18,30,3
2023-05-07,16:12,30,6
2023-05-07,17:16,30,9
