店舗:,広島県アース
日付,時間,出勤数,待機
2023-05-03,01:19,22,11
2023-05-03,02:13,21,8
2023-05-03,03:18,18,11
2023-05-03,04:12,13,10
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,29,1
2023-05-03,08:14,29,1
2023-05-03,10:15,30,4
2023-05-03,11:30,30,3
2023-05-03,12:15,30,1
2023-05-03,13:17,30,3
2023-05-03,14:13,30,6
2023-05-03,15:18,28,6
2023-05-03,16:14,27,15
2023-05-03,17:18,27,20
2023-05-03,18:14,27,17
2023-05-03,19:15,27,16
2023-05-03,20:12,27,19
2023-05-03,21:29,26,16
2023-05-03,22:17,26,18
2023-05-03,23:13,26,18
2023-05-04,00:15,25,23
2023-05-04,01:19,25,18
2023-05-04,02:12,21,12
2023-05-04,03:17,20,16
2023-05-04,04:11,20,18
2023-05-04,05:15,1,1
