店舗:,愛媛県天使と悪魔
日付,時間,出勤数,待機
2023-05-03,01:19,1,1
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,13,1
2023-05-03,12:15,12,6
2023-05-03,13:17,12,8
2023-05-03,14:13,12,4
2023-05-03,15:18,12,10
2023-05-03,16:14,11,6
2023-05-03,17:18,11,7
2023-05-03,18:14,11,7
2023-05-03,19:15,11,9
2023-05-03,20:12,11,6
2023-05-03,21:29,11,2
2023-05-03,22:17,11,5
2023-05-03,23:13,11,9
2023-05-04,00:15,1,1
2023-05-04,01:19,1,1
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
