店舗:,高知県プレジルー
日付,時間,出勤数,待機
2023-05-03,01:19,10,1
2023-05-03,02:13,10,1
2023-05-03,03:18,10,1
2023-05-03,04:12,10,1
2023-05-03,05:15,10,1
2023-05-03,06:12,10,1
2023-05-03,07:13,10,1
2023-05-03,08:14,10,1
2023-05-03,10:15,9,7
2023-05-03,11:30,9,4
2023-05-03,12:15,9,6
2023-05-03,13:17,9,5
2023-05-03,14:13,9,4
2023-05-03,15:18,9,6
2023-05-03,16:14,9,1
2023-05-03,17:18,9,1
2023-05-03,18:14,9,4
2023-05-03,19:15,9,5
2023-05-03,20:12,9,7
2023-05-03,21:29,7,4
2023-05-03,22:17,5,3
2023-05-03,23:13,1,1
2023-05-04,00:15,9,1
2023-05-04,01:19,9,1
2023-05-04,02:12,9,1
2023-05-04,03:17,9,1
2023-05-04,04:11,9,1
2023-05-04,05:15,9,1
