店舗:,高知県オリエンタル
日付,時間,出勤数,待機
2023-05-03,01:19,3,2
2023-05-03,02:13,2,2
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,1,1
2023-05-03,12:15,1,1
2023-05-03,13:17,1,1
2023-05-03,14:13,2,1
2023-05-03,15:18,2,1
2023-05-03,16:14,2,2
2023-05-03,17:18,2,2
2023-05-03,18:14,2,2
2023-05-03,19:15,2,2
2023-05-03,20:12,2,2
2023-05-03,21:29,2,2
2023-05-03,22:17,2,2
2023-05-03,23:13,2,1
2023-05-04,00:15,2,2
2023-05-04,01:19,2,2
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,1,1
2023-05-04,11:30,1,1
2023-05-04,12:15,1,1
2023-05-04,13:17,1,1
2023-05-04,14:13,2,2
2023-05-04,15:18,2,2
2023-05-04,16:14,2,2
2023-05-04,17:18,2,2
2023-05-04,18:14,2,2
2023-05-04,19:15,2,2
2023-05-04,20:12,2,2
2023-05-04,21:28,2,1
