店舗:,福岡県クラブピア
日付,時間,出勤数,待機
2023-05-03,01:19,10,1
2023-05-03,02:13,10,1
2023-05-03,03:18,10,1
2023-05-03,04:12,10,1
2023-05-03,05:15,10,1
2023-05-03,06:12,10,1
2023-05-03,07:13,10,1
2023-05-03,08:14,10,1
2023-05-03,10:15,10,3
2023-05-03,11:30,10,2
2023-05-03,12:15,9,2
2023-05-03,13:17,8,4
2023-05-03,14:13,8,3
2023-05-03,15:18,7,2
2023-05-03,16:14,6,1
2023-05-03,17:18,6,2
2023-05-03,18:14,6,4
2023-05-03,19:15,5,4
2023-05-03,20:12,3,1
2023-05-03,21:29,2,1
2023-05-03,22:17,2,1
2023-05-03,23:13,2,2
2023-05-04,00:15,1,1
2023-05-04,01:19,12,1
2023-05-04,02:12,12,1
2023-05-04,03:17,12,1
