店舗:,無毛のマシュマロ
日付,時間,出勤数,待機
2023-04-10,03:16,4,4
2023-04-10,04:10,2,2
2023-04-10,05:14,2,2
2023-04-10,06:11,0,0
2023-04-10,07:12,2,2
2023-04-10,08:13,2,2
2023-04-10,10:11,6,6
2023-04-10,11:28,7,7
2023-04-10,13:17,10,10
2023-04-10,14:14,10,10
2023-04-10,17:18,6,6
2023-04-10,19:15,4,4
2023-04-10,20:11,8,8
2023-04-10,21:28,6,6
2023-04-10,23:12,8,8
2023-04-11,00:13,7,7
2023-04-11,02:12,4,4
2023-04-11,03:18,4,4
2023-04-11,05:15,0,0
2023-04-11,06:12,0,0
2023-04-11,07:13,0,0
2023-04-11,08:14,0,0
2023-04-11,10:12,6,6
2023-04-11,11:30,6,6
2023-04-11,13:17,5,5
2023-04-11,15:19,5,5
2023-04-11,16:14,8,8
2023-04-11,17:19,10,10
2023-04-11,19:16,10,10
2023-04-11,20:12,7,7
2023-04-11,21:29,6,6
2023-04-11,22:18,6,6
2023-04-12,10:12,2,2
