店舗:,山形県ハピネス
日付,時間,出勤数,待機
2023-05-03,01:19,9,9
2023-05-03,02:13,8,8
2023-05-03,03:18,4,4
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,1,1
2023-05-03,12:15,1,1
2023-05-03,13:17,1,1
2023-05-03,14:13,1,1
2023-05-03,15:18,1,1
2023-05-03,16:14,1,1
2023-05-03,17:18,1,1
2023-05-03,18:14,1,1
2023-05-03,19:15,1,1
2023-05-03,20:12,13,8
2023-05-03,21:29,13,11
2023-05-03,22:17,13,11
2023-05-03,23:13,12,11
2023-05-04,00:15,12,11
2023-05-04,01:19,12,12
2023-05-04,02:12,11,11
2023-05-04,03:17,5,5
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,1,1
2023-05-04,11:30,1,1
2023-05-04,12:15,1,1
2023-05-04,13:17,1,1
2023-05-04,14:13,1,1
2023-05-04,15:18,1,1
2023-05-04,16:14,1,1
2023-05-04,17:18,1,1
2023-05-04,18:14,1,1
2023-05-04,19:15,1,1
2023-05-04,20:12,1,1
2023-05-04,21:28,1,1
2023-05-04,22:18,1,1
2023-05-04,23:13,1,1
2023-05-05,00:15,1,1
2023-05-05,01:28,1,1
2023-05-05,02:12,1,1
2023-05-05,03:18,1,1
2023-05-05,04:11,1,1
2023-05-05,05:15,1,1
2023-05-05,06:12,1,1
2023-05-05,07:13,1,1
2023-05-05,08:15,1,1
2023-05-05,10:07,1,1
2023-05-05,11:29,1,1
2023-05-05,12:15,1,1
2023-05-05,13:17,1,1
2023-05-05,14:13,1,1
2023-05-05,15:19,1,1
2023-05-05,16:13,1,1
2023-05-05,17:17,1,1
2023-05-05,18:14,1,1
2023-05-05,19:15,1,1
2023-05-05,20:12,11,8
2023-05-05,21:27,11,9
2023-05-05,22:17,11,10
2023-05-05,23:13,10,10
2023-05-06,00:14,9,9
2023-05-06,01:19,9,9
2023-05-06,02:12,8,8
2023-05-06,03:17,3,3
2023-05-06,04:11,1,1
2023-05-06,05:14,1,1
2023-05-06,06:12,1,1
2023-05-06,07:13,1,1
2023-05-06,08:14,1,1
2023-05-06,10:10,1,1
2023-05-06,11:27,1,1
2023-05-06,12:15,1,1
2023-05-06,13:16,1,1
2023-05-06,14:13,1,1
2023-05-06,15:17,1,1
2023-05-06,16:13,1,1
2023-05-06,17:16,1,1
2023-05-06,18:13,1,1
2023-05-06,19:14,1,1
2023-05-06,20:11,1,1
2023-05-06,21:26,1,1
2023-05-06,22:15,1,1
2023-05-06,23:11,1,1
2023-05-07,00:13,1,1
2023-05-07,01:17,1,1
2023-05-07,02:11,1,1
2023-05-07,03:17,1,1
2023-05-07,04:10,1,1
2023-05-07,05:13,1,1
2023-05-07,06:12,1,1
2023-05-07,07:12,1,1
2023-05-07,08:14,1,1
2023-05-07,10:18,15,1
2023-05-07,11:35,15,1
2023-05-07,12:15,15,1
2023-05-07,13:17,15,3
2023-05-07,14:13,14,1
2023-05-07,15:18,14,1
2023-05-07,16:12,14,8
2023-05-07,17:16,14,6
2023-05-07,18:13,14,6
2023-05-07,19:14,14,7
2023-05-07,20:11,14,9
2023-05-07,21:26,14,11
2023-05-07,22:15,14,12
2023-05-07,23:12,14,12
