店舗:,熊本県ドレスデン
日付,時間,出勤数,待機
2023-05-03,01:19,9,1
2023-05-03,02:13,9,1
2023-05-03,03:18,9,1
2023-05-03,04:12,9,1
2023-05-03,05:15,9,1
2023-05-03,06:12,9,1
2023-05-03,07:13,9,1
2023-05-03,08:14,9,1
2023-05-03,10:15,8,3
2023-05-03,11:30,8,4
2023-05-03,12:15,8,4
2023-05-03,13:17,8,4
2023-05-03,14:13,8,5
2023-05-03,15:18,7,4
2023-05-03,16:14,7,4
2023-05-03,17:18,6,4
2023-05-03,18:14,6,3
2023-05-03,19:15,6,4
2023-05-03,20:12,6,4
2023-05-03,21:29,6,6
2023-05-03,22:17,5,5
2023-05-03,23:13,5,5
2023-05-04,00:15,1,1
2023-05-04,01:19,1,1
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,10,5
2023-05-04,11:30,9,5
2023-05-04,12:15,9,7
2023-05-04,13:17,9,5
2023-05-04,14:13,8,5
2023-05-04,15:18,7,4
2023-05-04,16:14,7,5
2023-05-04,17:18,7,5
2023-05-04,18:14,6,5
2023-05-04,19:15,6,6
2023-05-04,20:12,6,6
2023-05-04,21:28,6,6
2023-05-04,22:18,6,6
2023-05-04,23:13,6,6
2023-05-05,00:15,1,1
2023-05-05,01:28,1,1
