店舗:,熊本県快楽堂
日付,時間,出勤数,待機
2023-05-03,01:19,7,7
2023-05-03,02:13,2,2
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,13,1
2023-05-03,12:15,13,5
2023-05-03,13:17,13,6
2023-05-03,14:13,13,7
2023-05-03,15:18,13,5
2023-05-03,16:14,12,5
2023-05-03,17:18,12,10
2023-05-03,18:14,12,10
2023-05-03,19:15,12,11
2023-05-03,20:12,12,11
2023-05-03,21:29,13,11
2023-05-03,22:17,13,11
2023-05-03,23:13,11,7
2023-05-04,00:15,8,6
2023-05-04,01:19,8,7
2023-05-04,02:12,6,6
2023-05-04,03:17,1,1
