店舗:,CHOICELOVE
日付,時間,出勤数,待機
2023-04-10,03:16,10,0
2023-04-10,04:10,20,0
2023-04-10,05:14,20,0
2023-04-10,06:11,23,0
2023-04-10,07:12,23,0
2023-04-10,08:13,23,0
2023-04-10,10:11,23,0
2023-04-10,11:28,23,0
2023-04-10,13:17,34,2
2023-04-10,14:14,34,2
2023-04-10,17:18,33,5
2023-04-10,19:15,33,6
2023-04-10,20:11,32,6
2023-04-10,21:28,32,8
2023-04-10,23:12,37,6
2023-04-11,00:13,34,4
2023-04-11,02:12,30,0
2023-04-11,03:18,30,0
2023-04-11,05:15,30,0
2023-04-11,06:12,28,0
2023-04-11,07:13,28,0
2023-04-11,08:14,28,0
2023-04-11,10:12,28,0
2023-04-11,11:30,44,0
2023-04-11,13:17,44,0
2023-04-11,15:19,44,2
2023-04-11,16:14,44,2
2023-04-11,17:19,44,2
2023-04-11,19:16,44,5
2023-04-11,20:12,44,5
2023-04-11,21:29,43,4
2023-04-11,22:18,43,4
2023-04-12,10:12,33,0
2023-04-12,11:30,42,0
2023-04-12,12:15,42,2
2023-04-12,13:17,42,3
2023-04-12,14:13,42,3
2023-04-12,15:19,42,5
2023-04-12,16:13,42,5
2023-04-12,17:18,42,5
2023-04-12,19:15,42,7
2023-04-12,22:18,41,8
2023-04-14,00:15,34,6
2023-04-14,01:18,33,6
2023-04-14,02:12,29,2
2023-04-14,03:18,24,0
2023-04-14,04:11,21,0
2023-04-14,05:15,21,0
2023-04-14,06:12,18,0
2023-04-14,07:13,29,0
2023-04-14,08:14,29,0
2023-04-14,10:13,29,0
2023-04-14,11:29,29,2
2023-04-14,12:15,28,3
2023-04-14,13:17,28,3
2023-04-14,14:13,28,3
2023-04-14,15:19,28,3
2023-04-14,16:13,28,3
2023-04-14,17:18,29,5
2023-04-14,18:14,28,6
2023-04-14,19:15,29,4
2023-04-14,20:12,28,6
2023-04-14,21:28,26,5
2023-04-14,22:18,26,5
2023-04-14,23:13,26,5
2023-04-15,00:15,26,5
2023-04-15,01:19,25,5
2023-04-15,02:11,22,2
2023-04-15,03:17,20,0
2023-04-15,04:11,20,0
2023-04-15,05:15,20,0
2023-04-15,06:12,18,0
