店舗:,すすきのキングダム
日付,時間,出勤数,待機
2023-05-16,07:13,2,0
2023-05-16,08:13,2,0
2023-05-16,10:15,14,6
2023-05-16,11:33,14,8
2023-05-16,12:15,16,8
2023-05-16,13:17,16,12
2023-05-16,14:13,24,14
2023-05-16,15:18,24,4
2023-05-16,16:13,22,6
2023-05-16,17:18,22,10
2023-05-16,18:14,20,12
2023-05-16,19:15,18,12
2023-05-16,20:11,18,8
2023-05-16,21:31,16,4
2023-05-16,22:17,16,4
2023-05-16,23:13,10,8
2023-05-17,00:14,2,0
2023-05-17,01:18,2,0
2023-05-17,02:12,2,0
2023-05-17,03:17,2,0
2023-05-17,04:11,2,0
2023-05-17,05:15,2,0
2023-05-17,06:12,2,0
2023-05-17,07:13,2,0
2023-05-17,08:13,8,0
2023-05-17,10:16,20,4
2023-05-17,11:32,18,4
2023-05-17,12:15,18,4
2023-05-17,13:17,16,6
2023-05-17,14:13,16,10
2023-05-17,15:18,14,6
2023-05-17,16:13,12,8
2023-05-17,17:18,20,10
2023-05-17,18:14,18,10
2023-05-17,19:15,18,12
2023-05-17,20:11,18,14
2023-05-17,21:28,18,12
