店舗:,福島県郡山学園
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,13,1
2023-05-16,10:15,13,1
2023-05-16,11:33,13,2
2023-05-16,12:15,13,3
2023-05-16,13:17,14,3
2023-05-16,14:13,14,3
2023-05-16,15:18,14,4
2023-05-16,16:13,13,8
2023-05-16,17:18,13,8
2023-05-16,18:14,11,10
2023-05-16,19:15,11,10
2023-05-16,20:11,11,8
2023-05-16,21:31,11,7
2023-05-16,22:17,11,8
2023-05-16,23:13,11,8
2023-05-17,00:14,10,9
2023-05-17,01:18,10,9
2023-05-17,02:12,8,7
2023-05-17,03:17,6,6
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,12,1
2023-05-17,10:16,12,1
2023-05-17,11:32,12,1
2023-05-17,12:15,12,3
2023-05-17,13:17,12,5
2023-05-17,14:13,12,4
2023-05-17,15:18,12,2
2023-05-17,16:13,12,7
2023-05-17,17:18,12,7
2023-05-17,18:14,11,7
2023-05-17,19:15,11,7
2023-05-17,20:11,11,7
2023-05-17,21:28,9,4
2023-05-17,22:17,8,5
2023-05-17,23:13,8,7
2023-05-18,00:14,8,6
2023-05-18,01:18,8,8
2023-05-18,02:12,7,6
2023-05-18,03:17,6,5
2023-05-18,04:11,1,1
2023-05-18,05:14,1,1
2023-05-18,06:12,1,1
