店舗:,茨城県ニューティアラ
日付,時間,出勤数,待機
2023-05-16,07:13,11,1
2023-05-16,08:13,11,1
2023-05-16,10:15,11,4
2023-05-16,11:33,11,5
2023-05-16,12:15,11,7
2023-05-16,13:17,11,7
2023-05-16,14:13,11,7
2023-05-16,15:18,10,5
2023-05-16,16:13,10,7
2023-05-16,17:18,10,7
2023-05-16,18:14,10,6
2023-05-16,19:15,10,8
2023-05-16,20:11,9,8
2023-05-16,21:31,9,9
2023-05-16,22:17,9,7
2023-05-16,23:13,9,9
2023-05-17,00:14,10,1
2023-05-17,01:18,10,1
2023-05-17,02:12,10,1
2023-05-17,03:17,10,1
2023-05-17,04:11,10,1
2023-05-17,05:15,10,1
2023-05-17,06:12,10,1
2023-05-17,07:13,10,1
2023-05-17,08:13,10,1
2023-05-17,10:16,10,3
2023-05-17,11:32,10,4
2023-05-17,12:15,10,8
2023-05-17,13:17,10,5
2023-05-17,14:13,10,8
2023-05-17,15:18,9,5
