店舗:,すすきのアメキャン
日付,時間,出勤数,待機
2023-05-03,01:19,2,0
2023-05-03,02:13,2,0
2023-05-03,03:18,2,0
2023-05-03,04:12,2,0
2023-05-03,05:15,2,0
2023-05-03,06:12,2,0
2023-05-03,07:13,2,0
2023-05-03,08:14,2,0
2023-05-03,10:15,16,14
2023-05-03,11:30,16,14
2023-05-03,12:15,14,12
2023-05-03,13:17,14,12
2023-05-03,14:13,14,12
2023-05-03,15:18,14,12
2023-05-03,16:14,14,12
2023-05-03,17:18,10,8
2023-05-03,18:14,18,16
2023-05-03,19:15,18,16
2023-05-03,20:12,18,16
2023-05-03,21:29,18,16
2023-05-03,22:17,18,16
2023-05-03,23:13,18,16
2023-05-04,00:15,2,1
2023-05-04,01:19,2,1
2023-05-04,02:12,2,1
2023-05-04,03:17,2,1
2023-05-04,04:11,2,1
2023-05-04,05:15,2,1
2023-05-04,06:13,2,1
2023-05-04,07:14,2,1
2023-05-04,08:14,2,1
2023-05-04,10:12,11,8
2023-05-04,11:30,11,8
2023-05-04,12:15,11,10
