店舗:,ドMカンパニー
日付,時間,出勤数,待機
2023-04-10,03:16,54,6
2023-04-10,04:10,48,0
2023-04-10,05:14,48,0
2023-04-10,06:11,38,0
2023-04-10,07:12,38,0
2023-04-10,08:13,38,0
2023-04-10,10:11,56,4
2023-04-10,11:28,56,4
2023-04-10,13:17,56,4
2023-04-10,14:14,56,8
2023-04-10,17:18,56,12
2023-04-10,19:15,0,0
2023-04-10,20:11,54,2
2023-04-10,21:28,52,0
2023-04-10,23:12,54,8
2023-04-11,00:13,54,4
2023-04-11,02:12,52,10
2023-04-11,03:18,50,8
2023-04-11,05:15,42,0
2023-04-11,06:12,32,0
2023-04-11,07:13,32,0
2023-04-11,08:14,32,0
2023-04-11,10:12,32,0
2023-04-11,11:30,48,4
2023-04-11,13:17,48,2
2023-04-11,15:19,48,10
2023-04-11,16:14,48,12
2023-04-11,17:19,48,8
2023-04-11,19:16,48,12
2023-04-11,20:12,46,10
2023-04-11,21:29,44,10
2023-04-11,22:18,42,10
2023-04-12,10:12,68,2
2023-04-12,11:30,68,2
2023-04-12,12:15,68,6
2023-04-12,13:17,68,8
2023-04-12,14:13,68,8
2023-04-12,15:19,66,12
2023-04-12,16:13,68,8
2023-04-12,17:18,68,10
2023-04-12,19:15,66,6
2023-04-12,22:18,60,8
2023-04-14,00:15,71,6
2023-04-14,01:18,73,6
2023-04-14,02:12,73,6
2023-04-14,03:18,67,4
2023-04-14,04:11,65,2
2023-04-14,05:15,63,0
2023-04-14,06:12,51,0
2023-04-14,07:13,51,0
2023-04-14,08:14,51,0
2023-04-14,10:13,69,0
2023-04-14,11:29,69,0
2023-04-14,12:15,69,4
2023-04-14,13:17,74,4
2023-04-14,14:13,74,4
2023-04-14,15:19,72,6
2023-04-14,16:13,72,4
2023-04-14,17:18,60,6
2023-04-14,18:14,60,6
2023-04-14,19:15,66,10
2023-04-14,20:12,66,10
2023-04-14,21:28,68,14
2023-04-14,22:18,68,10
2023-04-14,23:13,66,12
2023-04-15,00:15,66,6
2023-04-15,01:19,66,8
2023-04-15,02:11,58,2
2023-04-15,03:17,56,4
2023-04-15,04:11,52,0
2023-04-15,05:15,50,0
2023-04-15,06:12,44,0
2023-04-15,07:13,44,0
2023-04-15,08:14,44,0
2023-04-15,10:15,55,6
2023-04-15,11:30,55,4
2023-04-15,12:15,55,6
2023-04-15,13:17,55,8
2023-04-15,14:13,55,6
2023-04-15,15:17,55,8
2023-04-15,16:12,55,12
2023-04-15,17:17,55,16
2023-04-15,18:13,55,16
2023-04-15,19:14,59,16
2023-04-15,20:11,59,12
2023-04-15,21:26,57,8
2023-04-15,22:15,57,12
2023-04-15,23:12,51,2
2023-04-16,00:13,51,6
2023-04-16,01:18,51,8
2023-04-16,02:12,49,6
2023-04-16,03:17,45,6
2023-04-16,04:11,41,2
2023-04-16,05:14,39,0
2023-04-16,06:12,29,0
2023-04-16,07:13,29,0
2023-04-16,08:13,29,0
2023-04-16,10:17,53,4
2023-04-16,11:34,53,6
2023-04-16,12:15,53,12
2023-04-16,13:17,53,6
2023-04-16,14:13,51,2
2023-04-16,15:18,49,12
2023-04-16,16:12,49,12
