店舗:,群馬県プリティーガール
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,1,1
2023-05-16,11:33,4,4
2023-05-16,12:15,4,4
2023-05-16,13:17,6,6
2023-05-16,14:13,6,6
2023-05-16,15:18,6,6
2023-05-16,16:13,6,6
2023-05-16,17:18,9,9
2023-05-16,18:14,9,9
2023-05-16,19:15,9,9
2023-05-16,20:11,8,8
2023-05-16,21:31,8,8
2023-05-16,22:17,8,8
2023-05-16,23:13,8,8
2023-05-17,00:14,8,8
2023-05-17,01:18,8,8
2023-05-17,02:12,1,1
2023-05-17,03:17,1,1
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,1,1
2023-05-17,10:16,1,1
2023-05-17,11:32,5,5
2023-05-17,12:15,5,5
