店舗:,東京都スピン
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,4,1
2023-05-16,11:33,7,1
2023-05-16,12:15,10,2
2023-05-16,13:17,11,2
2023-05-16,14:13,13,2
2023-05-16,15:18,14,4
2023-05-16,16:13,14,2
2023-05-16,17:18,14,5
2023-05-16,18:14,14,6
2023-05-16,19:15,13,4
2023-05-16,20:11,10,1
2023-05-16,21:31,9,3
2023-05-16,22:17,9,5
2023-05-16,23:13,7,4
2023-05-17,00:14,6,3
2023-05-17,01:18,6,3
2023-05-17,02:12,5,4
2023-05-17,03:17,2,2
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,1,1
2023-05-17,10:16,2,1
2023-05-17,11:32,3,1
2023-05-17,12:15,5,1
2023-05-17,13:17,5,1
2023-05-17,14:13,5,1
2023-05-17,15:18,6,3
2023-05-17,16:13,7,4
2023-05-17,17:18,8,4
2023-05-17,18:14,7,2
2023-05-17,19:15,6,2
2023-05-17,20:11,7,2
2023-05-17,21:28,4,2
2023-05-17,22:17,4,1
2023-05-17,23:13,4,1
2023-05-18,00:14,4,2
2023-05-18,01:18,4,2
2023-05-18,02:12,3,1
2023-05-18,03:17,2,2
2023-05-18,04:11,1,1
2023-05-18,05:14,1,1
2023-05-18,06:12,1,1
