店舗:,神奈川県美人カフェ
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,1,1
2023-05-16,11:33,2,2
2023-05-16,12:15,2,2
2023-05-16,13:17,2,2
2023-05-16,14:13,2,2
2023-05-16,15:18,2,2
2023-05-16,16:13,3,3
2023-05-16,17:18,3,3
2023-05-16,18:14,4,4
2023-05-16,19:15,6,6
2023-05-16,20:11,8,8
2023-05-16,21:31,8,8
2023-05-16,22:17,8,8
2023-05-16,23:13,7,7
2023-05-17,00:14,5,5
2023-05-17,01:18,5,5
2023-05-17,02:12,4,4
2023-05-17,03:17,3,3
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,1,1
2023-05-17,10:16,2,2
2023-05-17,11:32,2,2
2023-05-17,12:15,3,3
2023-05-17,13:17,3,3
2023-05-17,14:13,3,3
2023-05-17,15:18,4,4
2023-05-17,16:13,5,5
2023-05-17,17:18,6,6
2023-05-17,18:14,8,8
2023-05-17,19:15,12,12
2023-05-17,20:11,12,12
2023-05-17,21:28,12,12
2023-05-17,22:17,12,12
2023-05-17,23:13,10,10
2023-05-18,00:14,7,7
2023-05-18,01:18,3,3
2023-05-18,02:12,2,2
2023-05-18,03:17,2,2
2023-05-18,04:11,1,1
2023-05-18,05:14,1,1
2023-05-18,06:12,1,1
