店舗:,茨城県迷宮の人妻
日付,時間,出勤数,待機
2023-05-03,01:19,6,5
2023-05-03,02:13,0,0
2023-05-03,03:18,0,0
2023-05-03,04:12,0,0
2023-05-03,05:15,0,0
2023-05-03,06:12,0,0
2023-05-03,07:13,0,0
2023-05-03,08:14,0,0
2023-05-03,10:15,0,0
2023-05-03,11:30,1,0
2023-05-03,12:15,3,2
2023-05-03,13:17,4,1
2023-05-03,14:13,5,2
2023-05-03,15:18,6,4
2023-05-03,16:14,5,4
2023-05-03,17:18,5,3
2023-05-03,18:14,4,3
2023-05-03,19:15,5,5
2023-05-03,20:12,4,3
2023-05-03,21:29,4,3
2023-05-03,22:17,4,4
2023-05-03,23:13,4,4
2023-05-04,00:15,4,4
2023-05-04,01:19,4,4
2023-05-04,02:12,0,0
2023-05-04,03:17,0,0
2023-05-04,04:11,0,0
2023-05-04,05:15,0,0
2023-05-04,06:13,0,0
2023-05-04,07:14,0,0
2023-05-04,08:14,0,0
2023-05-04,10:12,1,1
2023-05-04,11:30,1,1
2023-05-04,12:15,2,2
2023-05-04,13:17,2,2
2023-05-04,14:13,3,3
2023-05-04,15:18,3,2
2023-05-04,16:14,4,2
2023-05-04,17:18,4,3
2023-05-04,18:14,5,3
2023-05-04,19:15,5,2
2023-05-04,20:12,5,3
2023-05-04,21:28,5,3
2023-05-04,22:18,5,3
2023-05-04,23:13,5,3
2023-05-05,00:15,3,2
2023-05-05,01:28,3,0
2023-05-05,02:12,0,0
2023-05-05,03:18,0,0
2023-05-05,04:11,0,0
2023-05-05,05:15,0,0
2023-05-05,06:12,0,0
2023-05-05,07:13,0,0
2023-05-05,08:15,0,0
2023-05-05,10:07,0,0
2023-05-05,11:29,0,0
2023-05-05,12:15,2,2
