店舗:,石川県ラヴィン
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,1,1
2023-05-16,11:33,1,1
2023-05-16,12:15,1,1
2023-05-16,13:17,6,6
2023-05-16,14:13,8,8
2023-05-16,15:18,10,10
2023-05-16,16:13,9,9
2023-05-16,17:18,13,9
2023-05-16,18:14,11,7
2023-05-16,19:15,11,7
2023-05-16,20:11,12,10
2023-05-16,21:31,9,8
2023-05-16,22:17,9,8
2023-05-16,23:13,9,7
2023-05-17,00:14,9,7
2023-05-17,01:18,6,5
2023-05-17,02:12,5,5
2023-05-17,03:17,4,4
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,1,1
2023-05-17,10:16,1,1
2023-05-17,11:32,1,1
2023-05-17,12:15,1,1
2023-05-17,13:17,4,4
2023-05-17,14:13,5,4
