店舗:,石川県ルーフ
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,8,5
2023-05-16,11:33,9,9
2023-05-16,12:15,13,13
2023-05-16,13:17,15,15
2023-05-16,14:13,18,18
2023-05-16,15:18,19,19
2023-05-16,16:13,19,19
2023-05-16,17:18,19,19
2023-05-16,18:14,17,17
2023-05-16,19:15,16,16
2023-05-16,20:11,16,11
2023-05-16,21:31,16,8
2023-05-16,22:17,16,8
2023-05-16,23:13,16,13
2023-05-17,00:14,13,12
2023-05-17,01:18,11,11
2023-05-17,02:12,1,1
2023-05-17,03:17,1,1
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,1,1
2023-05-17,10:16,8,6
2023-05-17,11:32,11,11
2023-05-17,12:15,14,14
2023-05-17,13:17,15,15
2023-05-17,14:13,18,18
2023-05-17,15:18,21,21
2023-05-17,16:13,22,22
2023-05-17,17:18,20,20
2023-05-17,18:14,21,21
2023-05-17,19:15,22,22
2023-05-17,20:11,21,18
2023-05-17,21:28,19,15
2023-05-17,22:17,18,15
2023-05-17,23:13,16,9
2023-05-18,00:14,15,12
2023-05-18,01:18,13,12
2023-05-18,02:12,1,1
2023-05-18,03:17,1,1
2023-05-18,04:11,1,1
2023-05-18,05:14,1,1
2023-05-18,06:12,1,1
2023-05-18,07:13,1,1
2023-05-18,08:13,1,1
2023-05-18,10:14,8,8
2023-05-18,11:31,10,10
2023-05-18,12:15,16,16
2023-05-18,13:17,18,18
2023-05-18,14:13,22,22
2023-05-18,15:19,22,22
2023-05-18,16:13,23,23
2023-05-18,17:17,22,22
2023-05-18,18:13,23,23
2023-05-18,19:14,22,22
2023-05-18,20:11,21,21
2023-05-18,21:29,18,18
2023-05-18,22:17,17,9
2023-05-18,23:13,17,15
2023-05-19,00:14,16,16
2023-05-19,01:18,15,15
2023-05-19,02:12,1,1
2023-05-19,03:17,1,1
2023-05-19,04:11,1,1
2023-05-19,05:15,1,1
2023-05-19,06:12,1,1
2023-05-19,07:13,1,1
2023-05-19,08:14,1,1
2023-05-19,10:15,9,9
2023-05-19,11:32,10,10
2023-05-19,12:15,13,13
2023-05-19,13:17,14,14
2023-05-19,14:13,22,22
2023-05-19,15:18,22,22
2023-05-19,16:12,25,25
2023-05-19,17:17,23,23
2023-05-19,18:13,22,22
2023-05-19,19:15,17,17
2023-05-19,20:11,23,14
2023-05-19,21:27,24,24
2023-05-19,22:17,24,16
2023-05-19,23:12,22,18
2023-05-20,00:14,19,18
2023-05-20,01:18,19,19
