店舗:,福井県トパーズ
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,10,2
2023-05-16,11:33,12,3
2023-05-16,12:15,12,2
2023-05-16,13:17,12,2
2023-05-16,14:13,11,4
2023-05-16,15:18,12,4
2023-05-16,16:13,9,3
2023-05-16,17:18,8,4
2023-05-16,18:14,6,5
2023-05-16,19:15,5,4
2023-05-16,20:11,4,3
2023-05-16,21:31,3,2
2023-05-16,22:17,3,3
2023-05-16,23:13,3,3
2023-05-17,00:14,3,3
2023-05-17,01:18,1,1
2023-05-17,02:12,1,1
2023-05-17,03:17,1,1
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,1,1
2023-05-17,10:16,8,3
2023-05-17,11:32,8,3
2023-05-17,12:15,8,2
2023-05-17,13:17,8,3
2023-05-17,14:13,7,2
2023-05-17,15:18,8,5
2023-05-17,16:13,8,6
2023-05-17,17:18,7,4
2023-05-17,18:14,7,6
2023-05-17,19:15,7,6
2023-05-17,20:11,5,5
2023-05-17,21:28,4,4
2023-05-17,22:17,3,3
2023-05-17,23:13,2,2
2023-05-18,00:14,1,1
2023-05-18,01:18,1,1
2023-05-18,02:12,1,1
2023-05-18,03:17,1,1
2023-05-18,04:11,1,1
2023-05-18,05:14,1,1
2023-05-18,06:12,1,1
2023-05-18,07:13,1,1
2023-05-18,08:13,1,1
2023-05-18,10:14,7,3
