店舗:,福井県ぷよぷよ
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,14,1
2023-05-16,10:15,14,1
2023-05-16,11:33,13,3
2023-05-16,12:15,13,4
2023-05-16,13:17,13,4
2023-05-16,14:13,13,5
2023-05-16,15:18,12,3
2023-05-16,16:13,12,4
2023-05-16,17:18,11,3
2023-05-16,18:14,11,3
2023-05-16,19:15,11,8
2023-05-16,20:11,11,10
2023-05-16,21:31,11,7
2023-05-16,22:17,10,9
2023-05-16,23:13,10,9
2023-05-17,00:14,8,8
2023-05-17,01:18,8,8
2023-05-17,02:12,5,5
2023-05-17,03:17,4,4
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,12,1
2023-05-17,10:16,12,1
2023-05-17,11:32,12,1
2023-05-17,12:15,12,2
2023-05-17,13:17,12,2
2023-05-17,14:13,12,3
2023-05-17,15:18,12,5
2023-05-17,16:13,9,1
2023-05-17,17:18,8,3
2023-05-17,18:14,7,3
2023-05-17,19:15,8,5
2023-05-17,20:11,8,6
2023-05-17,21:28,8,6
2023-05-17,22:17,8,7
2023-05-17,23:13,8,8
2023-05-18,00:14,7,7
2023-05-18,01:18,7,7
2023-05-18,02:12,5,5
2023-05-18,03:17,3,3
2023-05-18,04:11,1,1
2023-05-18,05:14,1,1
2023-05-18,06:12,1,1
2023-05-18,07:13,1,1
2023-05-18,08:13,13,1
2023-05-18,10:14,13,3
