店舗:,長野県スウィートリップス
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,15,1
2023-05-16,10:15,13,1
2023-05-16,11:33,13,4
2023-05-16,12:15,12,5
2023-05-16,13:17,12,7
2023-05-16,14:13,12,6
2023-05-16,15:18,12,5
2023-05-16,16:13,12,8
2023-05-16,17:18,12,6
2023-05-16,18:14,12,4
2023-05-16,19:15,12,7
2023-05-16,20:11,12,7
2023-05-16,21:31,12,3
2023-05-16,22:17,12,3
2023-05-16,23:13,12,5
2023-05-17,00:14,12,7
2023-05-17,01:18,11,8
2023-05-17,02:12,1,1
2023-05-17,03:17,1,1
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,10,1
2023-05-17,10:16,10,4
2023-05-17,11:32,10,3
