店舗:,大阪府クラブバカラ
日付,時間,出勤数,待機
2023-05-16,07:13,2,1
2023-05-16,08:13,2,1
2023-05-16,10:15,2,1
2023-05-16,11:33,2,1
2023-05-16,12:15,2,1
2023-05-16,13:17,2,1
2023-05-16,14:13,2,1
2023-05-16,15:18,2,1
2023-05-16,16:13,3,2
2023-05-16,17:18,3,2
2023-05-16,18:14,3,2
2023-05-16,19:15,4,2
2023-05-16,20:11,3,1
2023-05-16,21:31,4,3
2023-05-16,22:17,4,3
2023-05-16,23:13,3,2
2023-05-17,00:14,3,2
2023-05-17,01:18,4,3
2023-05-17,02:12,4,4
2023-05-17,03:17,2,2
2023-05-17,04:11,2,2
2023-05-17,05:15,2,2
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,1,1
2023-05-17,10:16,1,1
2023-05-17,11:32,2,2
2023-05-17,12:15,2,1
2023-05-17,13:17,3,1
2023-05-17,14:13,3,2
2023-05-17,15:18,3,2
2023-05-17,16:13,4,3
2023-05-17,17:18,4,3
2023-05-17,18:14,5,4
2023-05-17,19:15,5,3
2023-05-17,20:11,6,5
2023-05-17,21:28,7,4
2023-05-17,22:17,7,4
2023-05-17,23:13,7,4
2023-05-18,00:14,7,4
2023-05-18,01:18,7,5
2023-05-18,02:12,5,5
2023-05-18,03:17,3,3
2023-05-18,04:11,3,3
