店舗:,兵庫県銀馬車
日付,時間,出勤数,待機
2023-05-16,07:13,18,1
2023-05-16,08:13,17,7
2023-05-16,10:15,16,4
2023-05-16,11:33,13,5
2023-05-16,12:15,13,5
2023-05-16,13:17,11,3
2023-05-16,14:13,11,2
2023-05-16,15:18,11,4
2023-05-16,16:13,11,6
2023-05-16,17:18,10,5
2023-05-16,18:14,9,5
2023-05-16,19:15,8,5
2023-05-16,20:11,6,4
2023-05-16,21:31,3,3
2023-05-16,22:17,1,1
2023-05-16,23:13,1,1
2023-05-17,00:14,1,1
2023-05-17,01:18,1,1
2023-05-17,02:12,1,1
2023-05-17,03:17,1,1
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,18,1
2023-05-17,07:13,18,1
2023-05-17,08:13,17,8
2023-05-17,10:16,17,8
2023-05-17,11:32,12,4
2023-05-17,12:15,11,3
2023-05-17,13:17,10,1
2023-05-17,14:13,10,1
2023-05-17,15:18,10,5
2023-05-17,16:13,10,4
2023-05-17,17:18,10,5
2023-05-17,18:14,9,4
2023-05-17,19:15,9,2
2023-05-17,20:11,8,3
2023-05-17,21:28,7,7
2023-05-17,22:17,1,1
2023-05-17,23:13,1,1
2023-05-18,00:14,1,1
2023-05-18,01:18,1,1
2023-05-18,02:12,1,1
2023-05-18,03:17,1,1
2023-05-18,04:11,1,1
2023-05-18,05:14,1,1
2023-05-18,06:12,15,1
2023-05-18,07:13,15,1
2023-05-18,08:13,15,5
2023-05-18,10:14,15,7
2023-05-18,11:31,14,5
2023-05-18,12:15,13,7
2023-05-18,13:17,11,4
2023-05-18,14:13,11,5
2023-05-18,15:19,9,4
2023-05-18,16:13,9,4
2023-05-18,17:17,8,4
2023-05-18,18:13,7,3
2023-05-18,19:14,7,5
2023-05-18,20:11,6,5
2023-05-18,21:29,6,6
2023-05-18,22:17,1,1
