店舗:,広島県エクセレントロイヤル
日付,時間,出勤数,待機
2023-05-16,07:13,13,1
2023-05-16,08:13,13,1
2023-05-16,10:15,13,3
2023-05-16,11:33,13,3
2023-05-16,12:15,13,2
2023-05-16,13:17,12,4
2023-05-16,14:13,11,6
2023-05-16,15:18,10,3
2023-05-16,16:13,9,2
2023-05-16,17:18,8,3
2023-05-16,18:14,7,2
2023-05-16,19:15,7,1
2023-05-16,20:11,7,3
2023-05-16,21:31,6,4
2023-05-16,22:17,6,4
2023-05-16,23:13,4,4
2023-05-17,00:14,10,1
2023-05-17,01:18,10,1
2023-05-17,02:12,10,1
2023-05-17,03:17,10,1
2023-05-17,04:11,10,1
2023-05-17,05:15,10,1
2023-05-17,06:12,10,1
2023-05-17,07:13,10,1
2023-05-17,08:13,10,1
2023-05-17,10:16,10,3
2023-05-17,11:32,10,5
2023-05-17,12:15,10,4
2023-05-17,13:17,10,2
2023-05-17,14:13,10,5
