店舗:,広島県フローズン
日付,時間,出勤数,待機
2023-05-16,07:13,15,1
2023-05-16,08:13,15,1
2023-05-16,10:15,14,9
2023-05-16,11:33,14,10
2023-05-16,12:15,14,9
2023-05-16,13:17,14,8
2023-05-16,14:13,14,5
2023-05-16,15:18,13,9
2023-05-16,16:13,13,10
2023-05-16,17:18,13,6
2023-05-16,18:14,12,10
2023-05-16,19:15,12,10
2023-05-16,20:11,12,8
2023-05-16,21:31,12,9
2023-05-16,22:17,11,5
2023-05-16,23:13,11,9
2023-05-17,00:14,14,1
2023-05-17,01:18,14,1
2023-05-17,02:12,14,1
2023-05-17,03:17,14,1
2023-05-17,04:11,14,1
2023-05-17,05:15,14,1
2023-05-17,06:12,14,1
2023-05-17,07:13,14,1
2023-05-17,08:13,14,1
2023-05-17,10:16,14,8
2023-05-17,11:32,14,7
2023-05-17,12:15,14,8
2023-05-17,13:17,14,10
2023-05-17,14:13,14,10
2023-05-17,15:18,14,9
2023-05-17,16:13,14,12
