店舗:,広島県ブレイク
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,9,9
2023-05-16,11:33,9,9
2023-05-16,12:15,9,9
2023-05-16,13:17,9,9
2023-05-16,14:13,9,9
2023-05-16,15:18,8,8
2023-05-16,16:13,9,9
2023-05-16,17:18,9,9
2023-05-16,18:14,9,9
2023-05-16,19:15,9,9
2023-05-16,20:11,9,9
2023-05-16,21:31,9,9
2023-05-16,22:17,9,9
2023-05-16,23:13,9,9
2023-05-17,00:14,1,1
2023-05-17,01:18,1,1
2023-05-17,02:12,1,1
2023-05-17,03:17,1,1
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,1,1
2023-05-17,10:16,9,9
2023-05-17,11:32,9,9
2023-05-17,12:15,9,9
2023-05-17,13:17,9,9
2023-05-17,14:13,9,9
2023-05-17,15:18,9,9
2023-05-17,16:13,9,9
2023-05-17,17:18,9,9
2023-05-17,18:14,9,9
2023-05-17,19:15,10,10
2023-05-17,20:11,10,10
2023-05-17,21:28,10,10
2023-05-17,22:17,10,10
2023-05-17,23:13,9,9
2023-05-18,00:14,1,1
2023-05-18,01:18,1,1
2023-05-18,02:12,1,1
