店舗:,広島県ポポロン
日付,時間,出勤数,待機
2023-05-16,07:13,7,1
2023-05-16,08:13,7,1
2023-05-16,10:15,7,2
2023-05-16,11:33,7,2
2023-05-16,12:15,7,2
2023-05-16,13:17,7,2
2023-05-16,14:13,7,2
2023-05-16,15:18,7,3
2023-05-16,16:13,7,5
2023-05-16,17:18,7,4
2023-05-16,18:14,7,4
2023-05-16,19:15,6,2
2023-05-16,20:11,6,3
2023-05-16,21:31,5,2
2023-05-16,22:17,5,2
2023-05-16,23:13,5,2
2023-05-17,00:14,4,3
2023-05-17,01:18,3,3
2023-05-17,02:12,1,1
2023-05-17,03:17,1,1
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,0,0
2023-05-17,07:13,0,0
2023-05-17,08:13,10,1
2023-05-17,10:16,10,2
2023-05-17,11:32,10,2
2023-05-17,12:15,10,2
2023-05-17,13:17,10,5
2023-05-17,14:13,10,4
2023-05-17,15:18,10,3
