店舗:,香川県お湯っこクラブ
日付,時間,出勤数,待機
2023-05-16,07:13,10,1
2023-05-16,08:13,10,1
2023-05-16,10:15,10,1
2023-05-16,11:33,9,5
2023-05-16,12:15,9,4
2023-05-16,13:17,9,2
2023-05-16,14:13,9,3
2023-05-16,15:18,8,4
2023-05-16,16:13,8,6
2023-05-16,17:18,8,5
2023-05-16,18:14,8,5
2023-05-16,19:15,8,5
2023-05-16,20:11,8,2
2023-05-16,21:31,5,2
2023-05-16,22:17,3,3
2023-05-16,23:13,1,1
2023-05-17,00:14,12,1
2023-05-17,01:18,12,1
2023-05-17,02:12,12,1
2023-05-17,03:17,12,1
2023-05-17,04:11,12,1
2023-05-17,05:15,12,1
2023-05-17,06:12,12,1
2023-05-17,07:13,12,1
2023-05-17,08:13,12,1
2023-05-17,10:16,12,1
2023-05-17,11:32,12,1
2023-05-17,12:15,12,4
2023-05-17,13:17,12,4
2023-05-17,14:13,12,5
2023-05-17,15:18,12,5
2023-05-17,16:13,12,3
2023-05-17,17:18,12,8
2023-05-17,18:14,12,7
2023-05-17,19:15,12,8
2023-05-17,20:11,12,9
2023-05-17,21:28,10,9
2023-05-17,22:17,8,8
2023-05-17,23:13,1,1
2023-05-18,00:14,14,1
2023-05-18,01:18,14,1
2023-05-18,02:12,14,1
2023-05-18,03:17,14,1
2023-05-18,04:11,14,1
2023-05-18,05:14,14,1
2023-05-18,06:12,14,1
2023-05-18,07:13,14,1
2023-05-18,08:13,14,1
2023-05-18,10:14,14,1
