店舗:,愛媛県英乃國屋
日付,時間,出勤数,待機
2023-05-16,07:13,6,1
2023-05-16,08:13,7,1
2023-05-16,10:15,7,1
2023-05-16,11:33,7,1
2023-05-16,12:15,7,2
2023-05-16,13:17,7,4
2023-05-16,14:13,7,1
2023-05-16,15:18,7,2
2023-05-16,16:13,7,1
2023-05-16,17:18,7,3
2023-05-16,18:14,7,4
2023-05-16,19:15,7,4
2023-05-16,20:11,5,5
2023-05-16,21:31,4,4
2023-05-16,22:17,1,1
2023-05-16,23:13,1,1
2023-05-17,00:14,10,1
2023-05-17,01:18,10,1
2023-05-17,02:12,10,1
2023-05-17,03:17,10,1
2023-05-17,04:11,10,1
2023-05-17,05:15,10,1
2023-05-17,06:12,10,1
2023-05-17,07:13,10,1
2023-05-17,08:13,10,1
2023-05-17,10:16,10,1
2023-05-17,11:32,10,4
2023-05-17,12:15,10,4
2023-05-17,13:17,10,4
2023-05-17,14:13,9,3
2023-05-17,15:18,9,5
2023-05-17,16:13,9,4
2023-05-17,17:18,7,4
2023-05-17,18:14,7,1
2023-05-17,19:15,7,2
2023-05-17,20:11,4,2
2023-05-17,21:28,1,1
2023-05-17,22:17,1,1
2023-05-17,23:13,1,1
2023-05-18,00:14,10,1
2023-05-18,01:18,10,1
2023-05-18,02:12,10,1
2023-05-18,03:17,10,1
2023-05-18,04:11,10,1
2023-05-18,05:14,10,1
2023-05-18,06:12,10,1
2023-05-18,07:13,10,1
2023-05-18,08:13,10,1
2023-05-18,10:14,9,1
2023-05-18,11:31,9,2
2023-05-18,12:15,9,2
2023-05-18,13:17,9,4
2023-05-18,14:13,9,5
2023-05-18,15:19,8,6
2023-05-18,16:13,8,6
2023-05-18,17:17,8,6
2023-05-18,18:13,8,6
2023-05-18,19:14,8,6
2023-05-18,20:11,8,7
2023-05-18,21:29,5,3
2023-05-18,22:17,3,2
2023-05-18,23:13,1,1
2023-05-19,00:14,8,1
2023-05-19,01:18,8,1
2023-05-19,02:12,8,1
2023-05-19,03:17,8,1
2023-05-19,04:11,8,1
2023-05-19,05:15,8,1
2023-05-19,06:12,8,1
2023-05-19,07:13,8,1
2023-05-19,08:14,8,1
2023-05-19,10:15,8,1
2023-05-19,11:32,8,3
2023-05-19,12:15,8,2
2023-05-19,13:17,8,6
2023-05-19,14:13,8,4
2023-05-19,15:18,7,2
2023-05-19,16:12,7,4
2023-05-19,17:17,7,3
2023-05-19,18:13,7,6
2023-05-19,19:15,5,4
2023-05-19,20:11,4,3
2023-05-19,21:27,4,3
2023-05-19,22:17,3,2
2023-05-19,23:12,1,1
2023-05-20,00:14,10,1
2023-05-20,01:18,10,1
2023-05-20,02:12,10,1
2023-05-20,03:17,10,1
2023-05-20,04:11,10,1
2023-05-20,05:14,10,1
2023-05-20,06:12,10,1
2023-05-20,07:13,10,1
2023-05-20,08:14,11,1
2023-05-20,10:12,10,1
2023-05-20,11:29,10,2
2023-05-20,12:14,10,1
2023-05-20,13:16,10,3
2023-05-20,14:13,10,1
2023-05-20,15:17,10,4
2023-05-20,16:12,9,2
2023-05-20,17:16,9,3
2023-05-20,18:12,9,5
2023-05-20,19:14,8,8
2023-05-20,20:11,6,4
2023-05-20,21:26,4,1
2023-05-20,22:15,2,1
2023-05-20,23:12,1,1
2023-05-21,00:13,9,1
2023-05-21,01:17,9,1
2023-05-21,02:11,9,1
2023-05-21,03:16,9,1
2023-05-21,04:10,9,1
2023-05-21,06:11,9,1
2023-05-21,07:12,9,1
2023-05-21,08:13,8,1
2023-05-21,10:20,9,1
2023-05-21,11:36,8,4
2023-05-21,12:15,8,4
2023-05-21,13:16,8,6
2023-05-21,14:13,9,5
2023-05-21,15:17,9,6
2023-05-21,16:12,9,3
2023-05-21,17:16,9,6
2023-05-21,18:12,9,6
2023-05-21,19:14,9,5
2023-05-21,20:11,8,5
2023-05-21,21:26,5,4
2023-05-21,22:15,3,1
2023-05-21,23:12,3,2
2023-05-22,00:13,9,1
2023-05-22,01:17,9,1
2023-05-22,02:11,9,1
2023-05-22,03:17,9,1
2023-05-22,04:10,9,1
2023-05-22,05:14,9,1
2023-05-22,06:11,9,1
2023-05-22,07:13,9,1
2023-05-22,08:14,8,1
2023-05-22,10:18,8,1
2023-05-22,11:36,7,3
2023-05-22,12:16,7,3
2023-05-22,13:17,7,5
2023-05-22,14:14,7,6
2023-05-22,15:19,7,6
2023-05-22,16:14,7,6
2023-05-22,17:18,7,7
2023-05-22,18:14,6,5
2023-05-22,19:15,6,5
2023-05-22,20:12,3,3
2023-05-22,21:28,3,1
2023-05-22,22:17,3,1
2023-05-22,23:13,3,1
2023-05-23,00:14,6,1
2023-05-23,01:18,6,1
2023-05-23,02:12,6,1
