店舗:,福岡県ゴッドパイ
日付,時間,出勤数,待機
2023-05-16,07:13,2,2
2023-05-16,08:13,2,2
2023-05-16,10:15,5,5
2023-05-16,11:33,7,7
2023-05-16,12:15,7,7
2023-05-16,13:17,7,7
2023-05-16,14:13,7,7
2023-05-16,15:18,8,8
2023-05-16,16:13,8,8
2023-05-16,17:18,8,8
2023-05-16,18:14,8,8
2023-05-16,19:15,8,8
2023-05-16,20:11,8,8
2023-05-16,21:31,12,12
2023-05-16,22:17,0,0
2023-05-16,23:13,12,12
2023-05-17,00:14,14,14
2023-05-17,01:18,14,14
2023-05-17,02:12,14,14
2023-05-17,03:17,11,11
2023-05-17,04:11,11,11
2023-05-17,05:15,9,9
2023-05-17,06:12,2,2
2023-05-17,07:13,2,2
2023-05-17,08:13,2,2
2023-05-17,10:16,5,5
2023-05-17,11:32,8,8
2023-05-17,12:15,8,8
2023-05-17,13:17,8,8
2023-05-17,14:13,8,8
2023-05-17,15:18,11,11
2023-05-17,16:13,11,11
2023-05-17,17:18,10,10
2023-05-17,18:14,9,9
2023-05-17,19:15,9,9
2023-05-17,20:11,10,10
2023-05-17,21:28,14,14
2023-05-17,22:17,15,15
2023-05-17,23:13,15,15
2023-05-18,00:14,14,14
2023-05-18,01:18,14,14
2023-05-18,02:12,14,14
2023-05-18,03:17,11,11
2023-05-18,04:11,9,9
2023-05-18,05:14,9,9
2023-05-18,06:12,2,2
2023-05-18,07:13,2,2
2023-05-18,08:13,2,2
2023-05-18,10:14,6,6
2023-05-18,11:31,7,7
2023-05-18,12:15,7,7
2023-05-18,13:17,7,7
2023-05-18,14:13,7,7
2023-05-18,15:19,8,8
2023-05-18,16:13,9,9
2023-05-18,17:17,7,7
2023-05-18,18:13,9,9
2023-05-18,19:14,9,9
2023-05-18,20:11,11,11
2023-05-18,21:29,13,13
2023-05-18,22:17,13,13
2023-05-18,23:13,14,14
2023-05-19,00:14,13,13
2023-05-19,01:18,0,0
2023-05-19,02:12,12,12
2023-05-19,03:17,11,11
2023-05-19,04:11,9,9
2023-05-19,05:15,7,7
2023-05-19,06:12,2,2
2023-05-19,07:13,2,2
2023-05-19,08:14,2,2
2023-05-19,10:15,6,6
2023-05-19,11:32,7,7
2023-05-19,12:15,8,8
2023-05-19,13:17,8,8
2023-05-19,14:13,7,7
2023-05-19,15:18,9,9
2023-05-19,16:12,10,10
2023-05-19,17:17,8,8
2023-05-19,18:13,9,9
2023-05-19,19:15,10,10
2023-05-19,20:11,14,14
2023-05-19,21:27,15,15
2023-05-19,22:17,14,14
2023-05-19,23:12,16,16
2023-05-20,00:14,14,14
2023-05-20,01:18,14,14
2023-05-20,02:12,13,13
2023-05-20,03:17,11,11
2023-05-20,04:11,10,10
2023-05-20,05:14,8,8
2023-05-20,06:12,2,2
2023-05-20,07:13,2,2
2023-05-20,08:14,2,2
2023-05-20,10:12,7,7
2023-05-20,11:29,6,6
2023-05-20,12:14,6,6
2023-05-20,13:16,6,6
2023-05-20,14:13,7,7
2023-05-20,15:17,9,9
2023-05-20,16:12,9,9
2023-05-20,17:16,8,8
2023-05-20,18:12,9,9
2023-05-20,19:14,10,10
2023-05-20,20:11,13,13
2023-05-20,21:26,12,12
2023-05-20,22:15,13,13
2023-05-20,23:12,16,16
2023-05-21,00:13,16,16
2023-05-21,01:17,15,15
2023-05-21,02:11,15,15
2023-05-21,03:16,16,16
2023-05-21,04:10,13,13
2023-05-21,06:11,2,2
2023-05-21,07:12,2,2
2023-05-21,08:13,2,2
2023-05-21,10:20,6,6
2023-05-21,11:36,7,7
2023-05-21,12:15,7,7
2023-05-21,13:16,7,7
2023-05-21,14:13,7,7
2023-05-21,15:17,9,9
2023-05-21,16:12,11,11
2023-05-21,17:16,10,10
2023-05-21,18:12,11,11
2023-05-21,19:14,10,10
2023-05-21,20:11,13,13
2023-05-21,21:26,13,13
2023-05-21,22:15,12,12
2023-05-21,23:12,13,13
2023-05-22,00:13,15,15
2023-05-22,01:17,15,15
2023-05-22,02:11,15,15
2023-05-22,03:17,11,11
2023-05-22,04:10,10,10
2023-05-22,05:14,10,10
2023-05-22,06:11,2,2
2023-05-22,07:13,2,2
2023-05-22,08:14,2,2
2023-05-22,10:18,4,4
2023-05-22,11:36,5,5
