店舗:,熊本県リフレッシュ
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,13,1
2023-05-16,11:33,13,3
2023-05-16,12:15,13,4
2023-05-16,13:17,13,4
2023-05-16,14:13,13,6
2023-05-16,15:18,13,4
2023-05-16,16:13,12,3
2023-05-16,17:18,11,2
2023-05-16,18:14,9,3
2023-05-16,19:15,9,6
2023-05-16,20:11,8,6
2023-05-16,21:31,8,5
2023-05-16,22:17,8,4
2023-05-16,23:13,7,4
2023-05-17,00:14,7,4
2023-05-17,01:18,6,2
2023-05-17,02:12,4,2
2023-05-17,03:17,2,2
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,1,1
2023-05-17,10:16,12,3
2023-05-17,11:32,12,6
2023-05-17,12:15,12,6
2023-05-17,13:17,13,2
2023-05-17,14:13,13,2
2023-05-17,15:18,13,6
2023-05-17,16:13,12,6
2023-05-17,17:18,11,4
2023-05-17,18:14,8,4
2023-05-17,19:15,8,6
