店舗:,沖縄県Zero
日付,時間,出勤数,待機
2023-05-16,07:13,5,1
2023-05-16,08:13,5,1
2023-05-16,10:15,5,1
2023-05-16,11:33,5,2
2023-05-16,12:15,6,3
2023-05-16,13:17,6,3
2023-05-16,14:13,6,3
2023-05-16,15:18,6,2
2023-05-16,16:13,6,2
2023-05-16,17:18,4,4
2023-05-16,18:14,4,4
2023-05-16,19:15,4,4
2023-05-16,20:11,4,4
2023-05-16,21:31,3,2
2023-05-16,22:17,3,3
2023-05-16,23:13,3,2
2023-05-17,00:14,1,1
2023-05-17,01:18,1,1
2023-05-17,02:12,7,1
2023-05-17,03:17,7,1
2023-05-17,04:11,7,1
2023-05-17,05:15,7,1
