店舗:,沖縄県インフィニティ
日付,時間,出勤数,待機
2023-05-16,07:13,7,1
2023-05-16,08:13,7,1
2023-05-16,10:15,7,2
2023-05-16,11:33,7,2
2023-05-16,12:15,7,2
2023-05-16,13:17,7,2
2023-05-16,14:13,5,1
2023-05-16,15:18,4,1
2023-05-16,16:13,4,1
2023-05-16,17:18,4,1
2023-05-16,18:14,2,1
2023-05-16,19:15,3,1
2023-05-16,20:11,3,2
2023-05-16,21:31,3,2
2023-05-16,22:17,3,2
2023-05-16,23:13,1,1
2023-05-17,00:14,6,1
2023-05-17,01:18,6,1
2023-05-17,02:12,6,1
2023-05-17,03:17,6,1
2023-05-17,04:11,6,1
2023-05-17,05:15,6,1
2023-05-17,06:12,6,1
2023-05-17,07:13,6,1
2023-05-17,08:13,6,1
2023-05-17,10:16,5,1
2023-05-17,11:32,5,3
2023-05-17,12:15,5,3
2023-05-17,13:17,4,3
2023-05-17,14:13,4,2
2023-05-17,15:18,3,2
2023-05-17,16:13,3,2
2023-05-17,17:18,3,1
2023-05-17,18:14,3,2
2023-05-17,19:15,2,1
2023-05-17,20:11,2,1
2023-05-17,21:28,2,2
2023-05-17,22:17,2,1
2023-05-17,23:13,2,2
2023-05-18,00:14,4,1
2023-05-18,01:18,4,1
2023-05-18,02:12,4,1
2023-05-18,03:17,4,1
2023-05-18,04:11,4,1
2023-05-18,05:14,4,1
2023-05-18,06:12,4,1
2023-05-18,07:13,4,1
2023-05-18,08:13,4,1
2023-05-18,10:14,4,1
2023-05-18,11:31,4,2
2023-05-18,12:15,4,2
2023-05-18,13:17,4,2
2023-05-18,14:13,4,2
2023-05-18,15:19,4,2
2023-05-18,16:13,4,1
2023-05-18,17:17,4,2
2023-05-18,18:13,4,2
2023-05-18,19:14,1,1
2023-05-18,20:11,1,1
2023-05-18,21:29,1,1
2023-05-18,22:17,1,1
2023-05-18,23:13,1,1
2023-05-19,00:14,2,1
2023-05-19,01:18,2,1
2023-05-19,02:12,2,1
2023-05-19,03:17,2,1
2023-05-19,04:11,2,1
2023-05-19,05:15,2,1
2023-05-19,06:12,2,1
2023-05-19,07:13,2,1
2023-05-19,08:14,2,1
2023-05-19,10:15,2,1
2023-05-19,11:32,2,1
2023-05-19,12:15,2,1
2023-05-19,13:17,2,1
2023-05-19,14:13,2,1
2023-05-19,15:18,2,1
2023-05-19,16:12,2,1
2023-05-19,17:17,2,1
2023-05-19,18:13,2,1
2023-05-19,19:15,2,1
2023-05-19,20:11,2,1
2023-05-19,21:27,2,1
2023-05-19,22:17,2,2
2023-05-19,23:12,1,1
2023-05-20,00:14,9,1
2023-05-20,01:18,9,1
2023-05-20,02:12,9,1
2023-05-20,03:17,9,1
2023-05-20,04:11,9,1
2023-05-20,05:14,9,1
2023-05-20,06:12,9,1
2023-05-20,07:13,9,1
2023-05-20,08:14,10,1
2023-05-20,10:12,10,2
2023-05-20,11:29,10,3
2023-05-20,12:14,10,3
2023-05-20,13:16,10,3
2023-05-20,14:13,9,2
2023-05-20,15:17,8,4
2023-05-20,16:12,7,3
2023-05-20,17:16,4,1
2023-05-20,18:12,3,1
2023-05-20,19:14,2,1
2023-05-20,20:11,3,2
2023-05-20,21:26,2,1
2023-05-20,22:15,2,1
2023-05-20,23:12,2,1
2023-05-21,00:13,4,1
2023-05-21,01:17,4,1
2023-05-21,02:11,4,1
2023-05-21,03:16,4,1
2023-05-21,04:10,5,1
2023-05-21,06:11,5,1
2023-05-21,07:12,5,1
2023-05-21,08:13,5,1
2023-05-21,10:20,5,1
2023-05-21,11:36,5,1
2023-05-21,12:15,5,1
2023-05-21,13:16,5,3
2023-05-21,14:13,5,2
2023-05-21,15:17,5,2
