店舗:,沖縄県ハッピースマイル
日付,時間,出勤数,待機
2023-05-16,07:13,18,1
2023-05-16,08:13,18,1
2023-05-16,10:15,17,2
2023-05-16,11:33,17,3
2023-05-16,12:15,17,3
2023-05-16,13:17,17,3
2023-05-16,14:13,17,5
2023-05-16,15:18,16,2
2023-05-16,16:13,16,2
2023-05-16,17:18,16,2
2023-05-16,18:14,16,7
2023-05-16,19:15,12,7
2023-05-16,20:11,10,7
2023-05-16,21:31,10,3
2023-05-16,22:17,10,10
2023-05-16,23:13,8,1
2023-05-17,00:14,1,1
2023-05-17,01:18,1,1
2023-05-17,02:12,1,1
2023-05-17,03:17,16,1
2023-05-17,04:11,16,1
2023-05-17,05:15,16,1
2023-05-17,06:12,16,1
2023-05-17,07:13,16,1
2023-05-17,08:13,16,1
2023-05-17,10:16,15,1
2023-05-17,11:32,15,4
2023-05-17,12:15,15,4
2023-05-17,13:17,15,5
2023-05-17,14:13,15,5
2023-05-17,15:18,16,5
2023-05-17,16:13,13,3
2023-05-17,17:18,13,3
2023-05-17,18:14,13,5
2023-05-17,19:15,11,6
2023-05-17,20:11,10,6
2023-05-17,21:28,9,7
2023-05-17,22:17,9,3
2023-05-17,23:13,8,5
2023-05-18,00:14,1,1
2023-05-18,01:18,1,1
2023-05-18,02:12,1,1
2023-05-18,03:17,13,1
2023-05-18,04:11,13,1
2023-05-18,05:14,13,1
