店舗:,埼玉県okini
日付,時間,出勤数,待機
2023-05-03,01:19,3,3
2023-05-03,02:13,4,4
2023-05-03,03:18,6,6
2023-05-03,04:12,5,5
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,1,1
2023-05-03,12:15,1,1
2023-05-03,13:17,1,1
2023-05-03,14:13,1,1
2023-05-03,15:18,1,1
2023-05-03,16:14,6,6
2023-05-03,17:18,5,5
2023-05-03,18:14,7,7
2023-05-03,19:15,6,6
2023-05-03,20:12,7,7
2023-05-03,21:29,6,6
2023-05-03,22:17,7,7
2023-05-03,23:13,6,6
2023-05-04,00:15,8,8
2023-05-04,01:19,7,7
2023-05-04,02:12,7,7
2023-05-04,03:17,8,8
2023-05-04,04:11,4,4
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
