店舗:,ギャルの宅急便
日付,時間,出勤数,待機
2023-04-10,03:16,2,2
2023-04-10,04:10,0,0
2023-04-10,05:14,0,0
2023-04-10,06:11,0,0
2023-04-10,07:12,0,0
2023-04-10,08:13,0,0
2023-04-10,10:11,0,0
2023-04-10,11:28,12,6
2023-04-10,13:17,14,6
2023-04-10,14:14,14,8
2023-04-10,17:18,12,12
2023-04-10,19:15,12,12
2023-04-10,20:11,12,12
2023-04-10,21:28,12,12
2023-04-10,23:12,8,8
2023-04-11,00:13,8,8
2023-04-11,02:12,6,6
2023-04-11,03:18,2,2
2023-04-11,05:15,0,0
2023-04-11,06:12,0,0
2023-04-11,07:13,0,0
2023-04-11,08:14,0,0
2023-04-11,10:12,8,0
2023-04-11,11:30,8,4
2023-04-11,13:17,8,4
2023-04-11,15:19,8,6
2023-04-11,16:14,8,8
2023-04-11,17:19,8,8
2023-04-11,19:16,8,8
2023-04-11,20:12,8,8
2023-04-11,21:29,8,8
2023-04-11,22:18,6,6
2023-04-12,10:12,8,0
2023-04-12,11:30,8,4
2023-04-12,12:15,8,6
2023-04-12,13:17,8,6
2023-04-12,14:13,8,6
2023-04-12,15:19,8,8
